venue_id,venue_name,season,source_season,source_games,park_factor_run,park_factor_hr,source
1,Angel Stadium,2022,2021,82,1.0618682195454392,1.0415524570790795,empirical_previous_1_season
2,Oriole Park at Camden Yards,2022,2021,81,1.1839741755991946,1.397473123639566,empirical_previous_1_season
3,Fenway Park,2022,2021,81,1.1880615432940134,0.9989158067892927,empirical_previous_1_season
4,Guaranteed Rate Field,2022,2021,80,0.9683995910949568,1.0624831763122478,empirical_previous_1_season
5,Progressive Field,2022,2021,80,0.9628816447069513,1.0880236372812921,empirical_previous_1_season
7,Kauffman Stadium,2022,2021,81,1.0804275273304502,0.8072046923549839,empirical_previous_1_season
10,Oakland Coliseum,2022,2021,81,0.9128454518428771,0.8980152202449196,empirical_previous_1_season
12,Tropicana Field,2022,2021,81,0.8992208928601477,0.8627000149543891,empirical_previous_1_season
14,Rogers Centre,2022,2021,36,0.9809682467565247,1.1010776506654705,empirical_previous_1_season
15,Chase Field,2022,2021,81,1.1049517334993633,0.8576549856271705,empirical_previous_1_season
17,Wrigley Field,2022,2021,81,1.085877350923542,1.2208970971869133,empirical_previous_1_season
19,Coors Field,2022,2021,81,1.1757994402095568,1.0190959240981672,empirical_previous_1_season
22,Dodger Stadium,2022,2021,81,0.9251075549273339,1.165401774587508,empirical_previous_1_season
31,PNC Park,2022,2021,81,0.9891429821461625,0.7416193111011415,empirical_previous_1_season
32,American Family Field,2022,2021,81,0.948269305197974,0.9333304255354502,empirical_previous_1_season
680,T-Mobile Park,2022,2021,81,0.9114829959446042,0.9736906601531994,empirical_previous_1_season
2392,Minute Maid Park,2022,2021,81,1.0272917472978051,1.0291859827526046,empirical_previous_1_season
2394,Comerica Park,2022,2021,81,0.9251075549273339,0.7769345163916721,empirical_previous_1_season
2395,Oracle Park,2022,2021,81,0.9400945698083363,0.8627000149543891,empirical_previous_1_season
2536,TD Ballpark,2022,2021,21,1.2297137664697864,1.381617317182593,empirical_previous_1_season
2602,Great American Ball Park,2022,2021,81,1.1730745284130109,1.2612573318046625,empirical_previous_1_season
2680,Petco Park,2022,2021,82,0.9340133642136057,0.9219483471752616,empirical_previous_1_season
2681,Citizens Bank Park,2022,2021,81,0.9877805262478895,1.003960836116511,empirical_previous_1_season
2756,Sahlen Field,2022,2021,23,1.1419749916046065,1.3858476212768447,empirical_previous_1_season
2889,Busch Stadium,2022,2021,81,0.8460851128275027,0.7567543990827975,empirical_previous_1_season
3289,Citi Field,2022,2021,81,0.7997616122862222,0.8576549856271705,empirical_previous_1_season
3309,Nationals Park,2022,2021,81,1.0177545560098944,1.0897263346792283,empirical_previous_1_season
3312,Target Field,2022,2021,81,1.054540865263264,1.1754918332419453,empirical_previous_1_season
3313,Yankee Stadium,2022,2021,81,0.9278324667238795,1.1048614226608844,empirical_previous_1_season
4169,loanDepot park,2022,2021,81,0.8692468630981428,0.7567543990827975,empirical_previous_1_season
4705,Truist Park,2022,2021,79,1.040726597231408,1.0862778336201169,empirical_previous_1_season
5325,Globe Life Field,2022,2021,81,0.9646187759772493,0.978735689480418,empirical_previous_1_season
1,Angel Stadium,2023,2022,81,0.9641158668396023,1.1217641418983701,empirical_previous_1_season
2,Oriole Park at Camden Yards,2023,2022,80,0.977626459143969,0.8795062320230105,empirical_previous_1_season
3,Fenway Park,2023,2022,81,1.1572272661766827,1.0527325023969318,empirical_previous_1_season
4,Guaranteed Rate Field,2023,2022,81,1.0765239948119325,1.006711409395973,empirical_previous_1_season
