variant,holdout_season,feature_count,model_name,log_loss,brier_score,accuracy,n_games,accuracy_conf_55,coverage_conf_55,accuracy_conf_60,coverage_conf_60,accuracy_conf_65,coverage_conf_65
full,2022,160,random_forest,0.6778683291283254,0.2424381667102903,0.5761316872427984,2430.0,0.6110671936758894,0.5205761316872428,0.6528066528066528,0.1979423868312757,0.6694915254237288,0.048559670781893
full,2023,162,random_forest,0.6817111390981749,0.2443657294139352,0.5621399176954732,2430.0,0.583941605839416,0.5074074074074074,0.639412997903564,0.1962962962962963,0.75,0.04609053497942387
full,2024,162,random_forest,0.6789274011750701,0.24295837497083778,0.5726636475916015,2429.0,0.6173913043478261,0.4734458624948539,0.6577017114914425,0.16838205022643063,0.6593406593406593,0.037463976945244955
full,2025,162,random_forest,0.679730691481685,0.2434048124683492,0.5584362139917696,2430.0,0.6031224322103533,0.5008230452674897,0.6523702031602708,0.18230452674897119,0.7232142857142857,0.04609053497942387
without_pitch_stuff,2022,146,random_forest,0.6774682748827273,0.2422220887689873,0.5810699588477366,2430.0,0.6123417721518988,0.5201646090534979,0.6434426229508197,0.2008230452674897,0.6546762589928058,0.05720164609053498
without_pitch_stuff,2023,148,random_forest,0.6837239378241512,0.245319033623964,0.5576131687242798,2430.0,0.5776,0.51440329218107,0.6244897959183674,0.20164609053497942,0.6307692307692307,0.053497942386831275
without_pitch_stuff,2024,148,random_forest,0.6792375020048916,0.24310187433521036,0.5636064223960477,2429.0,0.6148023549201009,0.48950185261424456,0.629976580796253,0.17579250720461095,0.7009345794392523,0.04405104981473858
without_pitch_stuff,2025,148,random_forest,0.6793367024058453,0.24322897003666177,0.5530864197530864,2430.0,0.5934504792332268,0.5152263374485597,0.6673728813559322,0.194238683127572,0.7377049180327869,0.050205761316872426
without_lineup_optional,2022,141,random_forest,0.676853952411767,0.24192689187646638,0.5835390946502058,2430.0,0.6160572337042926,0.5176954732510288,0.6536203522504892,0.2102880658436214,0.6454545454545455,0.04526748971193416
without_lineup_optional,2023,143,random_forest,0.6813664100101813,0.2441977960540895,0.5617283950617284,2430.0,0.5885167464114832,0.5160493827160494,0.6325678496868476,0.19711934156378602,0.7024793388429752,0.04979423868312757
without_lineup_optional,2024,143,random_forest,0.6793207867272557,0.2431450506836061,0.5706051873198847,2429.0,0.6141396933560477,0.48332647179909427,0.6526806526806527,0.17661589131329766,0.6630434782608695,0.03787566899958831
without_lineup_optional,2025,143,random_forest,0.6800010234236089,0.2435456772349708,0.5604938271604938,2430.0,0.6023102310231023,0.49876543209876545,0.6530612244897959,0.1814814814814815,0.7636363636363637,0.04526748971193416
without_travel,2022,143,random_forest,0.6776008914774365,0.24229908112550588,0.5695473251028806,2430.0,0.6202229299363057,0.516872427983539,0.65,0.19753086419753085,0.635593220338983,0.048559670781893
without_travel,2023,145,random_forest,0.6819625369268483,0.2444927466377196,0.560082304526749,2430.0,0.5874294923448832,0.5106995884773663,0.6410256410256411,0.20864197530864198,0.7027027027027027,0.04567901234567901
without_travel,2024,145,random_forest,0.6794955147819776,0.24324292641852438,0.5664882667764513,2429.0,0.6069609507640068,0.4849732400164677,0.6479217603911981,0.16838205022643063,0.6699029126213593,0.04240428159736517
without_travel,2025,145,random_forest,0.6806879486232013,0.24386921448432555,0.5576131687242798,2430.0,0.5951417004048583,0.5082304526748971,0.6492374727668845,0.18888888888888888,0.7129629629629629,0.044444444444444446
without_bullpen_role,2022,158,random_forest,0.6766735184103074,0.24184272209378146,0.579835390946502,2430.0,0.6191974822974036,0.5230452674897119,0.6487603305785123,0.1991769547325103,0.6511627906976745,0.05308641975308642
without_bullpen_role,2023,160,random_forest,0.6810529062928826,0.2440246237894897,0.5563786008230452,2430.0,0.5932746196957566,0.5139917695473251,0.6380368098159509,0.20123456790123456,0.6756756756756757,0.04567901234567901
without_bullpen_role,2024,160,random_forest,0.6799229606377686,0.24345432044081017,0.5714285714285714,2429.0,0.605465414175918,0.48209139563606423,0.6497584541062802,0.17044051049814737,0.6896551724137931,0.03581720872787155
without_bullpen_role,2025,160,random_forest,0.6800485188584561,0.24356287497431942,0.5526748971193416,2430.0,0.6065969428801288,0.511522633744856,0.6673640167364017,0.19670781893004116,0.7321428571428571,0.04609053497942387
without_all_research_groups,2022,108,random_forest,0.6768366990071999,0.24191434895534747,0.5740740740740741,2430.0,0.6199203187250996,0.5164609053497943,0.6598360655737705,0.2008230452674897,0.6324786324786325,0.04814814814814815
without_all_research_groups,2023,110,random_forest,0.682046646029939,0.24451406464532943,0.5609053497942387,2430.0,0.5844051446945338,0.5119341563786008,0.6292585170340681,0.20534979423868313,0.6737588652482269,0.05802469135802469
without_all_research_groups,2024,110,random_forest,0.6798851040273257,0.24345846155106576,0.5648414985590778,2429.0,0.605,0.49403046521202143,0.6496519721577726,0.17743927542198434,0.6990291262135923,0.04240428159736517
without_all_research_groups,2025,110,random_forest,0.6803097119238459,0.2436974237174969,0.5596707818930041,2430.0,0.5995222929936306,0.516872427983539,0.6507592190889371,0.1897119341563786,0.6666666666666666,0.05432098765432099
baseline_like_columns,2022,105,random_forest,0.6766619486392084,0.24183604390741878,0.5843621399176955,2430.0,0.6134920634920635,0.5185185185185185,0.6597510373443983,0.19835390946502057,0.6535433070866141,0.05226337448559671
baseline_like_columns,2023,107,random_forest,0.6820466684087524,0.24451182570854102,0.5592592592592592,2430.0,0.5877616747181964,0.5111111111111111,0.632,0.205761316872428,0.6408450704225352,0.05843621399176955
baseline_like_columns,2024,107,random_forest,0.6807574031717069,0.24386591163394225,0.5648414985590778,2429.0,0.6048454469507101,0.49279538904899134,0.640625,0.1844380403458213,0.6952380952380952,0.043227665706051875
baseline_like_columns,2025,107,random_forest,0.6797460424627333,0.24344287237591133,0.551440329218107,2430.0,0.593900481540931,0.5127572016460905,0.657563025210084,0.19588477366255144,0.7241379310344828,0.059670781893004114
