column,non_null,null_rate,non_zero
away_estimated_high_leverage_role_fatigue_score,12148,0.0,366
away_lineup_injury_absence_signal_count,12148,0.0,0
away_lineup_player_count,12148,0.0,12148
away_lineup_rest_signal_count,12148,0.0,0
away_travel_away_game_streak,12148,0.0,12148
away_travel_home_game_streak,12148,0.0,0
away_travel_is_back_to_back,12148,0.0,5922
away_travel_travel_day,12148,0.0,0
home_estimated_high_leverage_role_fatigue_score,12148,0.0,309
home_lineup_injury_absence_signal_count,12148,0.0,0
home_lineup_player_count,12148,0.0,12148
home_lineup_rest_signal_count,12148,0.0,0
home_travel_away_game_streak,12148,0.0,0
home_travel_home_game_streak,12148,0.0,12148
home_travel_is_back_to_back,12148,0.0,5872
home_travel_travel_day,12148,0.0,0
lineup_injury_absence_signal_diff,12148,0.0,0
home_lineup_previous_starter_missing_count,12074,0.006091537701679289,11703
home_lineup_previous_starter_return_rate,12074,0.006091537701679289,12074
home_travel_rest_days,12074,0.006091537701679289,7359
away_lineup_previous_starter_missing_count,12072,0.006256173855778729,11699
away_lineup_previous_starter_return_rate,12072,0.006256173855778729,12072
away_travel_rest_days,12072,0.006256173855778729,7292
lineup_previous_starter_return_diff,12070,0.006420810009878169,8607
travel_rest_diff,12070,0.006420810009878169,1138
away_sp_avg_fastball_velocity_to_date,10910,0.10190977938755351,10910
away_sp_breaking_ball_usage_to_date,10910,0.10190977938755351,9864
away_sp_fastball_usage_to_date,10910,0.10190977938755351,10910
away_sp_offspeed_usage_to_date,10910,0.10190977938755351,10520
away_sp_whiff_rate_to_date,10910,0.10190977938755351,10905
away_sp_avg_spin_rate_to_date,10908,0.10207441554165295,10908
home_sp_breaking_ball_usage_to_date,10903,0.10248600592690155,9897
home_sp_fastball_usage_to_date,10903,0.10248600592690155,10902
home_sp_offspeed_usage_to_date,10903,0.10248600592690155,10490
home_sp_whiff_rate_to_date,10903,0.10248600592690155,10896
home_sp_avg_fastball_velocity_to_date,10902,0.10256832400395127,10902
home_sp_avg_spin_rate_to_date,10902,0.10256832400395127,10902
sp_whiff_rate_diff,10094,0.16908133026012512,10091
sp_fastball_velocity_diff,10093,0.16916364833717484,10093
away_lineup_available_ratio,0,1.0,0
away_lineup_confidence,0,1.0,0
away_lineup_expected_starter_ratio,0,1.0,0
away_travel_distance_miles,0,1.0,0
away_travel_timezone_shift,0,1.0,0
home_lineup_available_ratio,0,1.0,0
home_lineup_confidence,0,1.0,0
home_lineup_expected_starter_ratio,0,1.0,0
home_travel_distance_miles,0,1.0,0
home_travel_timezone_shift,0,1.0,0
lineup_confidence_diff,0,1.0,0
travel_distance_diff,0,1.0,0
travel_timezone_shift_diff,0,1.0,0
