feature,top_count,mean_rank,mean_value
home_team_runs_allowed_per_game_to_date,4,1.75,0.01437620296614155
away_team_runs_allowed_per_game_to_date,4,1.75,0.01419067743481755
team_woba_diff,4,4.0,0.0125331928292757
away_bullpen_whip_season_to_date,4,6.75,0.0123593096700258
home_team_runs_per_game_to_date,4,10.75,0.010839592737289475
home_bullpen_fip_season_to_date,4,11.75,0.01056762894786575
away_lineup_bottom4_ops,4,12.5,0.01057370820961175
home_bullpen_whip_season_to_date,3,6.333333333333333,0.011159120540069433
away_bullpen_fip_season_to_date,3,6.666666666666667,0.0111172028479197
away_sp_kbb_rate_season_to_date,3,8.333333333333334,0.011088769398267667
away_sp_hard_hit_rate_allowed_to_date,3,8.666666666666666,0.011096791863600434
away_team_runs_per_game_to_date,3,10.0,0.0109295539245177
away_team_woba_season_to_date,3,10.0,0.0108714123112313
home_team_ops_last_30d,3,14.333333333333334,0.010106140320584699
away_sp_avg_exit_velocity_allowed_to_date,3,16.0,0.010191353798770066
away_team_ops_season_to_date,2,10.0,0.01093149530145135
away_team_ops_last_30d,2,11.5,0.010739877024295599
home_team_ops_season_to_date,2,12.0,0.010578388238885
away_lineup_avg_exit_velocity,2,13.0,0.010311892287502799
sp_whiff_rate_diff,2,14.5,0.0106562881850693
home_team_woba_season_to_date,2,14.5,0.0100606417328051
home_lineup_hard_hit_rate,2,15.0,0.0104489065875354
away_team_ops_last_14d,2,15.0,0.010424433585025199
away_sp_breaking_ball_usage_to_date,1,5.0,0.0118136181568039
home_lineup_vs_rhp_woba,1,12.0,0.0109243056045134
home_sp_whiff_rate_to_date,1,14.0,0.0108442255615049
home_sp_fip_season_to_date,1,15.0,0.0102194160912264
away_sp_whiff_rate_to_date,1,15.0,0.0100583108430316
away_lineup_3to5_woba,1,17.0,0.0106855620071114
sp_statcast_xwoba_allowed_diff,1,17.0,0.0099288963552866
away_sp_whip_season_to_date,1,18.0,0.0098026735348169
home_lineup_bottom4_ops,1,19.0,0.0098276033741144
home_team_ops_last_14d,1,19.0,0.0098096594230846
home_lineup_avg_exit_velocity,1,20.0,0.0097975423012688
home_lineup_platoon_woba,1,20.0,0.0097641745810702
