feature,top_count,mean_rank,mean_value
home_team_runs_allowed_per_game_to_date,4,1.75,0.0088636991547365
away_team_runs_allowed_per_game_to_date,4,1.75,0.0085003606080052
team_woba_diff,4,3.25,0.007782982597349
away_team_runs_per_game_to_date,4,6.5,0.0057627093611482254
away_team_woba_season_to_date,4,7.5,0.0055340178805891
home_team_runs_per_game_to_date,4,9.25,0.0045644444749582
away_sp_hard_hit_rate_allowed_to_date,4,10.0,0.00448833083886135
away_team_ops_season_to_date,4,10.75,0.004755632802924375
sp_whiff_rate_diff,4,11.5,0.004609314684453975
away_bullpen_whip_season_to_date,3,6.333333333333333,0.005602583442896166
away_sp_kbb_rate_season_to_date,3,7.333333333333333,0.005185906881586033
home_bullpen_whip_season_to_date,3,9.333333333333334,0.004620391246623233
away_bullpen_fip_season_to_date,3,14.333333333333334,0.003948661603376868
home_bullpen_fip_season_to_date,3,15.333333333333334,0.0037634938161707995
sp_fip_diff,3,16.0,0.0036945990129633333
away_lineup_bottom4_ops,3,16.333333333333332,0.0035565250427031
away_sp_breaking_ball_usage_to_date,2,11.0,0.004543105333470699
sp_statcast_xwoba_allowed_diff,2,11.5,0.0044755804461597
home_sp_fip_season_to_date,2,13.0,0.00408856302352225
home_team_woba_season_to_date,2,13.0,0.00401023283219945
away_team_ops_last_30d,2,14.0,0.00417219284359085
home_team_ops_season_to_date,2,15.5,0.00362280576963455
away_sp_whiff_rate_to_date,2,16.5,0.00356155264173285
away_sp_whip_season_to_date,1,11.0,0.0039723999780191
home_sp_ip_avg_last_3_starts,1,12.0,0.0044474368491868
home_sp_whiff_rate_to_date,1,14.0,0.0039880703737743
home_sp_fip_last_3_starts,1,16.0,0.0033103244405201
home_lineup_hard_hit_rate,1,17.0,0.0032601072387151
home_sp_fip_last_5_starts,1,18.0,0.0032348229206124
away_sp_avg_exit_velocity_allowed_to_date,1,19.0,0.0032238273297293
away_lineup_avg_exit_velocity,1,20.0,0.0034056643463414
away_team_recent_7g_win_rate,1,20.0,0.0032131550009192
