variant,seed,holdout_season,feature_count,model_name,log_loss,brier_score,accuracy,n_games,accuracy_conf_55,coverage_conf_55,accuracy_conf_60,coverage_conf_60,accuracy_conf_65,coverage_conf_65,baseline_log_loss,baseline_brier_score,baseline_accuracy,log_loss_delta_vs_baseline,accuracy_delta_vs_baseline
baseline,11,2022,207,random_forest,0.6778442590839746,0.2424318318528008,0.5625514403292181,2430.0,0.6140988372093024,0.5662551440329218,0.6533795493934142,0.2374485596707819,0.6644736842105263,0.0625514403292181,0.6778442590839746,0.2424318318528008,0.5625514403292181,0.0,0.0
baseline,11,2022,207,random_forest_shallow,0.6794091302423944,0.2432014900696294,0.5654320987654321,2430.0,0.6022900763358778,0.5390946502057613,0.6577777777777778,0.1851851851851851,0.6455696202531646,0.0325102880658436,0.6778442590839746,0.2424318318528008,0.5625514403292181,0.001564871158419745,0.0028806584362139898
baseline,11,2023,209,random_forest,0.6808928261621546,0.2439198007416954,0.5670781893004115,2430.0,0.5954793452844894,0.5279835390946502,0.6342857142857142,0.2160493827160493,0.6733333333333333,0.0617283950617283,0.6808928261621546,0.2439198007416954,0.5670781893004115,0.0,0.0
baseline,11,2023,209,random_forest_shallow,0.6815802209129241,0.244291067553887,0.5654320987654321,2430.0,0.5870479394449117,0.4893004115226337,0.647982062780269,0.1835390946502057,0.696969696969697,0.0271604938271604,0.6808928261621546,0.2439198007416954,0.5670781893004115,0.00068739475076951,-0.0016460905349794386
baseline,11,2024,209,random_forest,0.681415444382767,0.2442051828864204,0.5599011939069576,2429.0,0.6038047973531845,0.4977356937011116,0.6494117647058824,0.1749691230959242,0.7291666666666666,0.0395224372169617,0.681415444382767,0.2442051828864204,0.5599011939069576,0.0,0.0
baseline,11,2024,209,random_forest_shallow,0.6814585423979167,0.2442220811014603,0.5660765747221078,2429.0,0.6053149606299213,0.4182791272128447,0.6373239436619719,0.1169205434335117,0.7346938775510204,0.0201729106628242,0.681415444382767,0.2442051828864204,0.5599011939069576,4.309801514967848e-05,0.006175380815150233
baseline,11,2025,209,random_forest_shallow,0.6801600797286467,0.2436085753705416,0.5617283950617284,2430.0,0.6051625239005736,0.4304526748971193,0.6892307692307692,0.1337448559670782,0.7323943661971831,0.0292181069958847,0.6806185552586738,0.2438385064907502,0.5580246913580247,-0.0004584755300270915,0.0037037037037037646
baseline,11,2025,209,random_forest,0.6806185552586738,0.2438385064907502,0.5580246913580247,2430.0,0.5949367088607594,0.5201646090534979,0.6533066132264529,0.2053497942386831,0.7063492063492064,0.0518518518518518,0.6806185552586738,0.2438385064907502,0.5580246913580247,0.0,0.0
baseline,22,2022,207,random_forest,0.6783607832742611,0.2427042087696885,0.5695473251028806,2430.0,0.6024531024531025,0.5703703703703704,0.6524822695035462,0.2320987654320987,0.6883116883116883,0.0633744855967078,0.6783607832742611,0.2427042087696885,0.5695473251028806,0.0,0.0
baseline,22,2022,207,random_forest_shallow,0.6792722102481558,0.2431252882654199,0.571604938271605,2430.0,0.5974981604120677,0.5592592592592592,0.6553191489361702,0.1934156378600823,0.6385542168674698,0.034156378600823,0.6783607832742611,0.2427042087696885,0.5695473251028806,0.0009114269738946801,0.002057613168724326
baseline,22,2023,209,random_forest,0.6812810537907182,0.2441210841941852,0.5621399176954732,2430.0,0.5906696764484575,0.5469135802469136,0.634011090573013,0.222633744855967,0.6778523489932886,0.0613168724279835,0.6812810537907182,0.2441210841941852,0.5621399176954732,0.0,0.0
baseline,22,2023,209,random_forest_shallow,0.6816586746372968,0.2443188375851366,0.5679012345679012,2430.0,0.5898692810457516,0.5037037037037037,0.6438679245283019,0.1744855967078189,0.6716417910447762,0.0275720164609053,0.6812810537907182,0.2441210841941852,0.5621399176954732,0.00037762084657855244,0.0057613168724279795
baseline,22,2024,209,random_forest,0.6799047211764042,0.2434671136624573,0.5599011939069576,2429.0,0.6074688796680497,0.4960889254837382,0.6378896882494005,0.1716755866611774,0.7130434782608696,0.0473445862494853,0.6799047211764042,0.2434671136624573,0.5599011939069576,0.0,0.0
baseline,22,2024,209,random_forest_shallow,0.6810436912927731,0.2440153733411208,0.5656648826677645,2429.0,0.6060913705583756,0.4055166735282009,0.6379928315412187,0.1148620831617949,0.7454545454545455,0.0226430629888843,0.6799047211764042,0.2434671136624573,0.5599011939069576,0.001138970116368876,0.0057636887608069065
baseline,22,2025,209,random_forest,0.6802433227619898,0.2436881872062296,0.551440329218107,2430.0,0.5952,0.51440329218107,0.6782608695652174,0.1893004115226337,0.7388059701492538,0.0551440329218107,0.6802433227619898,0.2436881872062296,0.551440329218107,0.0,0.0
baseline,22,2025,209,random_forest_shallow,0.6808750527877426,0.2439538566187535,0.5559670781893004,2430.0,0.6158301158301158,0.4263374485596707,0.6696969696969697,0.1358024691358024,0.704225352112676,0.0292181069958847,0.6802433227619898,0.2436881872062296,0.551440329218107,0.0006317300257527858,0.004526748971193317
baseline,33,2022,207,random_forest_shallow,0.6783158330939326,0.2426746908040976,0.5699588477366255,2430.0,0.6026541764246682,0.5271604938271605,0.6719101123595506,0.1831275720164609,0.7014925373134329,0.0275720164609053,0.6790469555422234,0.2430531803274826,0.5707818930041152,-0.0007311224482907663,-0.0008230452674896638
baseline,33,2022,207,random_forest,0.6790469555422234,0.2430531803274826,0.5707818930041152,2430.0,0.5938864628820961,0.5654320987654321,0.6418439716312057,0.2320987654320987,0.696551724137931,0.0596707818930041,0.6790469555422234,0.2430531803274826,0.5707818930041152,0.0,0.0
baseline,33,2023,209,random_forest_shallow,0.6807395950009221,0.2438774310479495,0.5637860082304527,2430.0,0.5898502495840267,0.4946502057613168,0.6586538461538461,0.17119341563786,0.7049180327868853,0.0251028806584362,0.6808176688211812,0.243904833714326,0.560082304526749,-7.807382025915022e-05,0.0037037037037036535
baseline,33,2023,209,random_forest,0.6808176688211812,0.243904833714326,0.560082304526749,2430.0,0.5894090560245587,0.5362139917695473,0.637065637065637,0.2131687242798353,0.6692913385826772,0.0522633744855967,0.6808176688211812,0.243904833714326,0.560082304526749,0.0,0.0
baseline,33,2024,209,random_forest,0.6794099828532392,0.2432011226011132,0.5693701111568547,2429.0,0.611065235342692,0.4985590778097982,0.6415094339622641,0.1745574310415809,0.7040816326530612,0.0403458213256484,0.6794099828532392,0.2432011226011132,0.5693701111568547,0.0,0.0
baseline,33,2024,209,random_forest_shallow,0.6807491647032593,0.2438692519470281,0.5673116508851379,2429.0,0.6142433234421365,0.416220666941128,0.6420664206642066,0.1115685467270481,0.7333333333333333,0.0185261424454508,0.6794099828532392,0.2432011226011132,0.5693701111568547,0.0013391818500201325,-0.0020584602717167444
baseline,33,2025,209,random_forest,0.6794702221611595,0.2432905497234992,0.5493827160493827,2430.0,0.5993563958165729,0.511522633744856,0.6694045174537988,0.2004115226337448,0.7071428571428572,0.0576131687242798,0.6794702221611595,0.2432905497234992,0.5493827160493827,0.0,0.0
baseline,33,2025,209,random_forest_shallow,0.6805735452637314,0.2438094376750209,0.5530864197530864,2430.0,0.6186440677966102,0.437037037037037,0.6789772727272727,0.1448559670781893,0.7014925373134329,0.0275720164609053,0.6794702221611595,0.2432905497234992,0.5493827160493827,0.0011033231025718848,0.0037037037037036535
