variant,model_name,mean_log_loss_delta_vs_baseline,median_log_loss_delta_vs_baseline,log_loss_win_rate_vs_baseline,mean_accuracy_delta_vs_baseline,accuracy_win_rate_vs_baseline
pythag_only,random_forest,-0.0003613029448967242,-0.0005445388614926383,0.5833333333333334,0.004355140023300998,0.6666666666666666
volatility_only,random_forest,-0.0002601322362706567,-0.00019704263473746542,0.6666666666666666,0.0033609093594150763,0.6666666666666666
scoring_only,random_forest,-0.0001915502153834736,-0.00014320059397726626,0.6666666666666666,0.0032923928457069727,0.6666666666666666
close_game_only,random_forest,-0.00012221457374890962,-0.0002914530268954829,0.6666666666666666,0.003807036150402556,0.5833333333333334
baseline,random_forest,0.0,0.0,0.0,0.0,0.0
run_diff_only,random_forest_shallow,7.785208983037324e-05,0.0002673987985858939,0.3333333333333333,0.0030181714886592568,0.6666666666666666
run_diff_only,random_forest,0.00012197315491141447,0.00018437506433327533,0.4166666666666667,0.002675419499520243,0.75
pythag_only,random_forest_shallow,0.0002263062570828367,0.00010185383815458637,0.25,0.0025375958426444114,0.8333333333333334
close_game_only,random_forest_shallow,0.00030765871049459603,0.00022840419469916107,0.4166666666666667,0.002298077471521822,0.6666666666666666
volatility_only,random_forest_shallow,0.0004342267780462021,0.00036004984606935464,0.4166666666666667,0.002538033512523861,0.6666666666666666
scoring_only,random_forest_shallow,0.000467900103663386,0.0005840999625656984,0.3333333333333333,-0.00017127010669544066,0.5
weighted_win_only,random_forest,0.0005097106827064898,0.0005023741382896851,0.25,0.000994484794783664,0.5833333333333334
weighted_win_only,random_forest_shallow,0.0005149932554508093,0.00017528166135011292,0.4166666666666667,0.0021950979844031493,0.6666666666666666
baseline,random_forest_shallow,0.0005441620867457364,0.0006595623882611479,0.25,0.0028124101717868313,0.75
v2_core,random_forest_shallow,0.0005591533651542376,0.0007674213326952506,0.25,-0.0007548817133617991,0.5
v2_core,random_forest,0.0006053273004898533,0.0006802610359927241,0.16666666666666666,-0.0002743060673469448,0.5
v1_full,random_forest_shallow,0.0009796083153243336,0.0008868844048774416,0.25,-0.0020237149306420363,0.4166666666666667
v1_full,random_forest,0.0010618683492619834,0.0012918288718083981,0.25,-0.0006176933837303278,0.5
