variant,model_name,mean_log_loss,std_log_loss,mean_brier_score,mean_accuracy,mean_accuracy_conf_60,mean_coverage_conf_60,mean_feature_count
pythag_only,random_forest,0.6795808466608322,0.0014491713827669485,0.24329774735232668,0.5660385821528954,0.6443766640933053,0.2055402088730085,213.5
volatility_only,random_forest,0.6796820173694583,0.0014006105979020458,0.24335821141351044,0.5650443514890094,0.6450344311268489,0.20910610303821955,210.5
scoring_only,random_forest,0.6797505993903453,0.0014215412430596125,0.2433874004191208,0.5649758349753012,0.6474185537576234,0.2078036257137548,220.5
close_game_only,random_forest,0.67981993503198,0.0012314398625069304,0.24342506283135049,0.5654904782799969,0.6473445145927542,0.20368746756301456,215.5
baseline,random_forest,0.6799421496057289,0.0011438517857420578,0.24348546684755404,0.5616834421295943,0.6485709266346289,0.20581348429838123,208.5
run_diff_only,random_forest_shallow,0.6800200016955592,0.001308843392112509,0.24352153859573758,0.5647016136182536,0.6592641122363779,0.1569053294637668,213.5
run_diff_only,random_forest,0.6800641227606402,0.0011330676711359708,0.24353871496207283,0.5643588616291145,0.6431407765438576,0.20807755058475516,213.5
pythag_only,random_forest_shallow,0.6801684558628117,0.0012718290914942375,0.24359091460103552,0.5642210379722388,0.6561302124735974,0.15765991469108123,213.5
close_game_only,random_forest_shallow,0.6802498083162235,0.0009360192492485904,0.24363189466538612,0.5639815196011161,0.6652986758776342,0.15189814603039062,215.5
volatility_only,random_forest_shallow,0.6803763763837751,0.001061343641465189,0.24369482677479967,0.5642214756421182,0.6611837920564951,0.15155460341179197,210.5
scoring_only,random_forest_shallow,0.6804100497093923,0.0011802440341897493,0.2437104295754786,0.5615121720228989,0.6555310664637654,0.154367366543159,220.5
weighted_win_only,random_forest,0.6804518602884354,0.0013782196089182628,0.2437245427423984,0.562677926924378,0.6439341493037857,0.2052652674784172,213.5
weighted_win_only,random_forest_shallow,0.6804571428611798,0.0009941810740165167,0.24373042683426227,0.5638785401139975,0.6603660832816854,0.15018341191625423,213.5
baseline,random_forest_shallow,0.6804863116924746,0.0010256136579707077,0.2437472817816704,0.5644958523013811,0.6575665900048603,0.1540584139634198,208.5
v2_core,random_forest_shallow,0.6805013029708831,0.001568010494840758,0.24375386316823391,0.5609285604162325,0.6539930724420305,0.15927161284456615,228.5
v2_core,random_forest,0.6805474769062188,0.001530549353944788,0.24377821465801655,0.5614091360622474,0.6381071928942716,0.2071518929081102,228.5
v1_full,random_forest_shallow,0.6809217579210533,0.0015967354792285162,0.24395557263731912,0.5596597271989523,0.6544847351725799,0.15786595837561787,244.5
v1_full,random_forest,0.6810040179549909,0.0014072678357880059,0.2439924911945999,0.561065748745864,0.6375110944111687,0.20598599682279903,244.5
