variant,seed,holdout_season,feature_count,model_name,log_loss,brier_score,accuracy,n_games,accuracy_conf_55,coverage_conf_55,accuracy_conf_60,coverage_conf_60,accuracy_conf_65,coverage_conf_65,baseline_log_loss,baseline_brier_score,baseline_accuracy,log_loss_delta_vs_baseline,accuracy_delta_vs_baseline
baseline,11,2022,207,random_forest,0.6778442590839746,0.2424318318528008,0.5625514403292181,2430.0,0.6140988372093024,0.5662551440329218,0.6533795493934142,0.2374485596707819,0.6644736842105263,0.06255144032921811,0.6778442590839746,0.2424318318528008,0.5625514403292181,0.0,0.0
baseline,11,2023,209,random_forest,0.6808928261621546,0.24391980074169547,0.5670781893004115,2430.0,0.5954793452844894,0.5279835390946502,0.6342857142857142,0.21604938271604937,0.6733333333333333,0.06172839506172839,0.6808928261621546,0.24391980074169547,0.5670781893004115,0.0,0.0
baseline,11,2024,209,random_forest,0.681415444382767,0.2442051828864204,0.5599011939069576,2429.0,0.6038047973531845,0.4977356937011116,0.6494117647058824,0.17496912309592424,0.7291666666666666,0.03952243721696171,0.681415444382767,0.2442051828864204,0.5599011939069576,0.0,0.0
baseline,11,2025,209,random_forest,0.6806185552586739,0.24383850649075028,0.5580246913580247,2430.0,0.5949367088607594,0.5201646090534979,0.6533066132264529,0.20534979423868313,0.7063492063492064,0.05185185185185185,0.6806185552586739,0.24383850649075028,0.5580246913580247,0.0,0.0
baseline,22,2022,207,random_forest,0.6783607832742611,0.2427042087696885,0.5695473251028806,2430.0,0.6024531024531025,0.5703703703703704,0.6524822695035462,0.23209876543209876,0.6883116883116883,0.06337448559670782,0.6783607832742611,0.2427042087696885,0.5695473251028806,0.0,0.0
baseline,22,2023,209,random_forest,0.6812810537907182,0.2441210841941852,0.5621399176954732,2430.0,0.5906696764484575,0.5469135802469136,0.634011090573013,0.22263374485596707,0.6778523489932886,0.06131687242798354,0.6812810537907182,0.2441210841941852,0.5621399176954732,0.0,0.0
baseline,22,2024,209,random_forest,0.6799047211764042,0.24346711366245735,0.5599011939069576,2429.0,0.6074688796680497,0.4960889254837382,0.6378896882494005,0.17167558666117744,0.7130434782608696,0.047344586249485385,0.6799047211764042,0.24346711366245735,0.5599011939069576,0.0,0.0
baseline,22,2025,209,random_forest,0.6802433227619898,0.24368818720622965,0.551440329218107,2430.0,0.5952,0.51440329218107,0.6782608695652174,0.18930041152263374,0.7388059701492538,0.0551440329218107,0.6802433227619898,0.24368818720622965,0.551440329218107,0.0,0.0
baseline,33,2022,207,random_forest,0.6790469555422233,0.24305318032748266,0.5707818930041152,2430.0,0.5938864628820961,0.5654320987654321,0.6418439716312057,0.23209876543209876,0.696551724137931,0.059670781893004114,0.6790469555422233,0.24305318032748266,0.5707818930041152,0.0,0.0
baseline,33,2023,209,random_forest,0.6808176688211812,0.24390483371432606,0.560082304526749,2430.0,0.5894090560245587,0.5362139917695473,0.637065637065637,0.21316872427983538,0.6692913385826772,0.05226337448559671,0.6808176688211812,0.24390483371432606,0.560082304526749,0.0,0.0
baseline,33,2024,209,random_forest,0.6794099828532392,0.24320112260111323,0.5693701111568547,2429.0,0.611065235342692,0.49855907780979825,0.6415094339622641,0.1745574310415809,0.7040816326530612,0.040345821325648415,0.6794099828532392,0.24320112260111323,0.5693701111568547,0.0,0.0
baseline,33,2025,209,random_forest,0.6794702221611595,0.24329054972349926,0.5493827160493827,2430.0,0.5993563958165729,0.511522633744856,0.6694045174537988,0.20041152263374484,0.7071428571428572,0.05761316872427984,0.6794702221611595,0.24329054972349926,0.5493827160493827,0.0,0.0
baseline,44,2022,207,random_forest,0.6769558200213109,0.2419988636038355,0.5777777777777777,2430.0,0.6040462427745664,0.5695473251028806,0.6440071556350626,0.2300411522633745,0.648,0.051440329218107,0.6769558200213109,0.2419988636038355,0.5777777777777777,0.0,0.0
baseline,44,2023,209,random_forest,0.6805110265955161,0.24376634495055574,0.5621399176954732,2430.0,0.5917252146760343,0.5271604938271605,0.6587301587301587,0.2074074074074074,0.6830985915492958,0.05843621399176955,0.6805110265955161,0.24376634495055574,0.5621399176954732,0.0,0.0
baseline,44,2024,209,random_forest,0.6807848427673906,0.24388500674637492,0.5677233429394812,2429.0,0.5945499587118084,0.49855907780979825,0.6307339449541285,0.17949773569370112,0.7222222222222222,0.044462741869081925,0.6807848427673906,0.24388500674637492,0.5677233429394812,0.0,0.0
baseline,44,2025,209,random_forest,0.6805046739386589,0.24379288676583652,0.5489711934156378,2430.0,0.6,0.49794238683127573,0.6694560669456067,0.19670781893004116,0.7024793388429752,0.04979423868312757,0.6805046739386589,0.24379288676583652,0.5489711934156378,0.0,0.0
baseline,55,2022,207,random_forest,0.6777749122921334,0.24240072449846375,0.5757201646090535,2430.0,0.6032210834553441,0.5621399176954732,0.6600719424460432,0.2288065843621399,0.6621621621621622,0.060905349794238686,0.6777749122921334,0.24240072449846375,0.5757201646090535,0.0,0.0
baseline,55,2023,209,random_forest,0.679952172110707,0.243460503615482,0.5621399176954732,2430.0,0.6062931696085956,0.5362139917695473,0.6330275229357798,0.2242798353909465,0.6549295774647887,0.05843621399176955,0.679952172110707,0.243460503615482,0.5621399176954732,0.0,0.0
baseline,55,2024,209,random_forest,0.6809492971711868,0.24396221094369036,0.5627830382873611,2429.0,0.6014729950900164,0.5030876904075752,0.6370023419203747,0.17579250720461095,0.6363636363636364,0.045286125977768626,0.6809492971711868,0.24396221094369036,0.5627830382873611,0.0,0.0
baseline,55,2025,209,random_forest,0.6789530150982389,0.24304240481223865,0.5588477366255145,2430.0,0.6007782101167315,0.5288065843621399,0.6638477801268499,0.19465020576131686,0.7241379310344828,0.059670781893004114,0.6789530150982389,0.24304240481223865,0.5588477366255145,0.0,0.0
baseline,66,2022,207,random_forest,0.6800082395684655,0.24350059991852166,0.5654320987654321,2430.0,0.5958702064896755,0.5580246913580247,0.6541218637992832,0.22962962962962963,0.6507936507936508,0.05185185185185185,0.6800082395684655,0.24350059991852166,0.5654320987654321,0.0,0.0
baseline,66,2023,209,random_forest,0.6798213934798187,0.2434223532059658,0.5662551440329218,2430.0,0.5879556259904913,0.5193415637860083,0.6521739130434783,0.20823045267489712,0.7101449275362319,0.056790123456790124,0.6798213934798187,0.2434223532059658,0.5662551440329218,0.0,0.0
baseline,66,2024,209,random_forest,0.6804883034284528,0.2437132461961001,0.5623713462330177,2429.0,0.6123456790123457,0.5002058460271717,0.6342592592592593,0.1778509674763277,0.6637931034482759,0.04775627830382874,0.6804883034284528,0.2437132461961001,0.5623713462330177,0.0,0.0
baseline,66,2025,209,random_forest,0.6801017138642552,0.24359106836267364,0.5534979423868313,2430.0,0.6001577287066246,0.5218106995884774,0.6513026052104208,0.20534979423868313,0.6992481203007519,0.05473251028806585,0.6801017138642552,0.24359106836267364,0.5534979423868313,0.0,0.0
baseline,77,2022,207,random_forest,0.6771729322708032,0.2420981340131428,0.5814814814814815,2430.0,0.6023138105567607,0.5691358024691358,0.6554770318021201,0.23292181069958848,0.6821192052980133,0.06213991769547325,0.6771729322708032,0.2420981340131428,0.5814814814814815,0.0,0.0
baseline,77,2023,209,random_forest,0.6803817886864065,0.2436851020443942,0.5633744855967078,2430.0,0.5985970381917382,0.5279835390946502,0.6344294003868471,0.21275720164609052,0.6758620689655173,0.059670781893004114,0.6803817886864065,0.2436851020443942,0.5633744855967078,0.0,0.0
baseline,77,2024,209,random_forest,0.680789008021567,0.24386953414628829,0.5640181144503911,2429.0,0.600997506234414,0.49526554137505147,0.6220095693779905,0.1720872787155208,0.6896551724137931,0.04775627830382874,0.680789008021567,0.24386953414628829,0.5640181144503911,0.0,0.0
baseline,77,2025,209,random_forest,0.6803855084152467,0.24375347702407996,0.5584362139917696,2430.0,0.5970636215334421,0.5045267489711934,0.6680672268907563,0.19588477366255144,0.75,0.05102880658436214,0.6803855084152467,0.24375347702407996,0.5584362139917696,0.0,0.0
pythag_only,11,2022,212,random_forest,0.6771812921430874,0.242087088700987,0.5831275720164609,2430.0,0.6044668587896254,0.5711934156378601,0.6518010291595198,0.23991769547325104,0.64,0.06172839506172839,0.6778442590839746,0.2424318318528008,0.5625514403292181,-0.0006629669408871885,0.020576131687242816
pythag_only,11,2023,214,random_forest,0.6811984572498114,0.24408416043095596,0.5637860082304527,2430.0,0.5920245398773006,0.5366255144032922,0.6363636363636364,0.20823045267489712,0.6530612244897959,0.06049382716049383,0.6808928261621546,0.24391980074169547,0.5670781893004115,0.00030563108765679914,-0.003292181069958877
pythag_only,11,2024,214,random_forest,0.6805418574424247,0.2437654788901336,0.5594895018526143,2429.0,0.5955518945634267,0.49979415397282834,0.6375545851528385,0.18855496088925483,0.6923076923076923,0.04816797035817209,0.681415444382767,0.2442051828864204,0.5599011939069576,-0.0008735869403423413,-0.0004116920543433267
pythag_only,11,2025,214,random_forest,0.6798553995697921,0.24347533165799096,0.5551440329218107,2430.0,0.6036536934074662,0.5181069958847737,0.6687763713080169,0.19506172839506172,0.7258064516129032,0.05102880658436214,0.6806185552586739,0.24383850649075028,0.5580246913580247,-0.0007631556888817448,-0.0028806584362139898
pythag_only,22,2022,212,random_forest,0.6783725812121704,0.2427008521647384,0.5732510288065844,2430.0,0.6001461988304093,0.562962962962963,0.6414762741652021,0.23415637860082306,0.7045454545454546,0.05432098765432099,0.6783607832742611,0.2427042087696885,0.5695473251028806,1.179793790928585e-05,0.0037037037037037646
pythag_only,22,2023,214,random_forest,0.68085494300862,0.2439101018663233,0.5732510288065844,2430.0,0.5952569169960474,0.5205761316872428,0.6149425287356322,0.21481481481481482,0.6715328467153284,0.056378600823045265,0.6812810537907182,0.2441210841941852,0.5621399176954732,-0.0004261107820981991,0.011111111111111183
pythag_only,22,2024,214,random_forest,0.6804991334958418,0.24372861364919673,0.5627830382873611,2429.0,0.611346316680779,0.4862083161794977,0.6287015945330297,0.18073281185673115,0.6822429906542056,0.04405104981473858,0.6799047211764042,0.24346711366245735,0.5599011939069576,0.0005944123194375761,0.0028818443804035088
pythag_only,22,2025,214,random_forest,0.6794171834148871,0.2432607542185697,0.5547325102880658,2430.0,0.5991967871485944,0.5123456790123457,0.6645021645021645,0.19012345679012346,0.7101449275362319,0.056790123456790124,0.6802433227619898,0.24368818720622965,0.551440329218107,-0.000826139347102739,0.003292181069958766
pythag_only,33,2022,212,random_forest,0.6767167465928045,0.24188610820293338,0.5843621399176955,2430.0,0.6060830860534124,0.5547325102880658,0.648014440433213,0.22798353909465022,0.697841726618705,0.05720164609053498,0.6790469555422233,0.24305318032748266,0.5707818930041152,-0.0023302089494188216,0.013580246913580285
pythag_only,33,2023,214,random_forest,0.6795172548511528,0.24325786476241743,0.5625514403292181,2430.0,0.6017014694508894,0.5320987654320988,0.6533333333333333,0.21604938271604937,0.6818181818181818,0.05432098765432099,0.6808176688211812,0.24390483371432606,0.560082304526749,-0.0013004139700284467,0.0024691358024691024
pythag_only,33,2024,214,random_forest,0.680091407371958,0.24352146259272564,0.5627830382873611,2429.0,0.6090534979423868,0.5002058460271717,0.6269662921348315,0.18320296418279128,0.6637931034482759,0.04775627830382874,0.6794099828532392,0.24320112260111323,0.5693701111568547,0.0006814245187187762,-0.00658707286949356
pythag_only,33,2025,214,random_forest,0.6807239035774356,0.2438951510909483,0.557201646090535,2430.0,0.601755786113328,0.5156378600823045,0.6600877192982456,0.18765432098765433,0.7235772357723578,0.050617283950617285,0.6794702221611595,0.24329054972349926,0.5493827160493827,0.0012536814162761312,0.007818930041152305
