variant,seed,holdout_season,feature_count,model_name,log_loss,brier_score,accuracy,n_games,accuracy_conf_55,coverage_conf_55,accuracy_conf_60,coverage_conf_60,accuracy_conf_65,coverage_conf_65,baseline_log_loss,baseline_brier_score,baseline_accuracy,log_loss_delta_vs_baseline,accuracy_delta_vs_baseline
baseline,11,2022,207,random_forest,0.6778442590839746,0.2424318318528008,0.5625514403292181,2430.0,0.6140988372093024,0.5662551440329218,0.6533795493934142,0.2374485596707819,0.6644736842105263,0.06255144032921811,0.6778442590839746,0.2424318318528008,0.5625514403292181,0.0,0.0
baseline,11,2022,207,random_forest_shallow,0.6794091302423944,0.24320149006962946,0.5654320987654321,2430.0,0.6022900763358778,0.5390946502057613,0.6577777777777778,0.18518518518518517,0.6455696202531646,0.03251028806584362,0.6778442590839746,0.2424318318528008,0.5625514403292181,0.001564871158419745,0.0028806584362139898
baseline,11,2023,209,random_forest,0.6808928261621546,0.24391980074169547,0.5670781893004115,2430.0,0.5954793452844894,0.5279835390946502,0.6342857142857142,0.21604938271604937,0.6733333333333333,0.06172839506172839,0.6808928261621546,0.24391980074169547,0.5670781893004115,0.0,0.0
baseline,11,2023,209,random_forest_shallow,0.6815802209129241,0.244291067553887,0.5654320987654321,2430.0,0.5870479394449117,0.48930041152263376,0.647982062780269,0.18353909465020576,0.696969696969697,0.027160493827160494,0.6808928261621546,0.24391980074169547,0.5670781893004115,0.00068739475076951,-0.0016460905349794386
baseline,11,2024,209,random_forest,0.681415444382767,0.2442051828864204,0.5599011939069576,2429.0,0.6038047973531845,0.4977356937011116,0.6494117647058824,0.17496912309592424,0.7291666666666666,0.03952243721696171,0.681415444382767,0.2442051828864204,0.5599011939069576,0.0,0.0
baseline,11,2024,209,random_forest_shallow,0.6814585423979167,0.2442220811014603,0.5660765747221078,2429.0,0.6053149606299213,0.41827912721284477,0.6373239436619719,0.11692054343351173,0.7346938775510204,0.020172910662824207,0.681415444382767,0.2442051828864204,0.5599011939069576,4.309801514967848e-05,0.006175380815150233
baseline,11,2025,209,random_forest_shallow,0.6801600797286467,0.24360857537054165,0.5617283950617284,2430.0,0.6051625239005736,0.43045267489711936,0.6892307692307692,0.1337448559670782,0.7323943661971831,0.029218106995884775,0.6806185552586738,0.24383850649075028,0.5580246913580247,-0.0004584755300270915,0.0037037037037037646
baseline,11,2025,209,random_forest,0.6806185552586738,0.24383850649075028,0.5580246913580247,2430.0,0.5949367088607594,0.5201646090534979,0.6533066132264529,0.20534979423868313,0.7063492063492064,0.05185185185185185,0.6806185552586738,0.24383850649075028,0.5580246913580247,0.0,0.0
baseline,22,2022,207,random_forest,0.6783607832742611,0.24270420876968857,0.5695473251028806,2430.0,0.6024531024531025,0.5703703703703704,0.6524822695035462,0.23209876543209876,0.6883116883116883,0.06337448559670782,0.6783607832742611,0.24270420876968857,0.5695473251028806,0.0,0.0
baseline,22,2022,207,random_forest_shallow,0.6792722102481558,0.24312528826541993,0.571604938271605,2430.0,0.5974981604120677,0.5592592592592592,0.6553191489361702,0.1934156378600823,0.6385542168674698,0.034156378600823045,0.6783607832742611,0.24270420876968857,0.5695473251028806,0.0009114269738946801,0.002057613168724326
