variant,seed,holdout_season,feature_count,model_name,log_loss,brier_score,accuracy,n_games,accuracy_conf_55,coverage_conf_55,accuracy_conf_60,coverage_conf_60,accuracy_conf_65,coverage_conf_65,baseline_log_loss,baseline_brier_score,baseline_accuracy,log_loss_delta_vs_baseline,accuracy_delta_vs_baseline
full,11,2022,160,random_forest,0.6780612212495003,0.24249998472835504,0.5761316872427984,2430.0,0.620414673046252,0.5160493827160494,0.6595289079229122,0.19218106995884773,0.5871559633027523,0.0448559670781893,0.6780612212495003,0.24249998472835504,0.5761316872427984,0.0,0.0
full,11,2022,160,random_forest_shallow,0.6781699448956956,0.242575074470416,0.5757201646090535,2430.0,0.6151231945624469,0.4843621399176955,0.6903409090909091,0.1448559670781893,0.5652173913043478,0.018930041152263374,0.6780612212495003,0.24249998472835504,0.5761316872427984,0.00010872364619529673,-0.0004115226337448874
full,11,2023,162,random_forest,0.680344296677638,0.2436891304096254,0.562962962962963,2430.0,0.6049679487179487,0.5135802469135803,0.6401673640167364,0.19670781893004116,0.7222222222222222,0.05185185185185185,0.680344296677638,0.2436891304096254,0.562962962962963,0.0,0.0
full,11,2023,162,random_forest_shallow,0.6814928670663787,0.2442534793035791,0.5580246913580247,2430.0,0.5967741935483871,0.48477366255144033,0.6535211267605634,0.14609053497942387,0.7391304347826086,0.018930041152263374,0.680344296677638,0.2436891304096254,0.562962962962963,0.0011485703887407217,-0.004938271604938316
full,11,2024,162,random_forest,0.6783523704452006,0.2426767867429232,0.576780568135035,2429.0,0.6113013698630136,0.48085631947303414,0.6802884615384616,0.17126389460683408,0.711340206185567,0.03993412927130506,0.6783523704452006,0.2426767867429232,0.576780568135035,0.0,0.0
full,11,2024,162,random_forest_shallow,0.6799550183151454,0.24347407911624147,0.576780568135035,2429.0,0.6130705394190872,0.3968711403869905,0.6900826446280992,0.09962947715109098,0.7272727272727273,0.009057225195553726,0.6783523704452006,0.2426767867429232,0.576780568135035,0.0016026478699447955,0.0
full,11,2025,162,random_forest,0.6802849227101544,0.2437003946004333,0.5489711934156378,2430.0,0.5986733001658375,0.4962962962962963,0.6702819956616052,0.1897119341563786,0.6767676767676768,0.040740740740740744,0.6802849227101544,0.2437003946004333,0.5489711934156378,0.0,0.0
full,11,2025,162,random_forest_shallow,0.6810328193116022,0.24402417706177798,0.562962962962963,2430.0,0.6011904761904762,0.4148148148148148,0.6928571428571428,0.11522633744855967,0.7560975609756098,0.016872427983539096,0.6802849227101544,0.2437003946004333,0.5489711934156378,0.0007478966014478061,0.013991769547325172
full,22,2022,160,random_forest,0.6779262371981198,0.24246316463391973,0.5732510288065844,2430.0,0.6167076167076168,0.5024691358024691,0.6600790513833992,0.20823045267489712,0.6203703703703703,0.044444444444444446,0.6779262371981198,0.24246316463391973,0.5732510288065844,0.0,0.0
full,22,2022,160,random_forest_shallow,0.6783007799330374,0.24263646025408414,0.5806584362139918,2430.0,0.6092827004219409,0.4876543209876543,0.6768802228412256,0.14773662551440328,0.5384615384615384,0.016049382716049384,0.6779262371981198,0.24246316463391973,0.5732510288065844,0.00037454273491754897,0.007407407407407418
