holdout_season,model_name,game_id,game_date,season,home_team,away_team,home_score,away_score,home_team_win,home_win_probability,away_win_probability,raw_win_pick,win_confidence,actual_winner,win_edge,win_pick_rule,rule_win_pick,rule_win_correct,random_forest_shallow_raw_win_pick,random_forest_shallow_win_confidence,random_forest_shallow_agrees,soft_voting_raw_win_pick,soft_voting_win_confidence,soft_voting_agrees,agreement_models,agreement_required,models_agree
2022,random_forest,663178,2022-04-07 18:20:00+00:00,2022,CHC,MIL,5.0,4.0,1,0.5059169090210672,0.49408309097893277,CHC,0.5059169090210672,CHC,0.005916909021067229,pass,,,CHC,0.5242188082284412,True,CHC,0.5344714250061613,True,2,2,True
2022,random_forest,662766,2022-04-07 20:10:00+00:00,2022,KC,CLE,3.0,1.0,1,0.50738581432594,0.49261418567406,KC,0.50738581432594,KC,0.007385814325939988,pass,,,KC,0.5236217211616949,True,KC,0.5087944670282618,True,2,2,True
2022,random_forest,662021,2022-04-07 20:15:00+00:00,2022,STL,PIT,9.0,0.0,1,0.5983694643924332,0.4016305356075668,STL,0.5983694643924332,STL,0.09836946439243321,strong,STL,1.0,STL,0.5340308953649229,True,STL,0.5785449272915596,True,2,2,True
2022,random_forest,662571,2022-04-07 23:05:00+00:00,2022,WSH,NYM,1.0,5.0,0,0.5797562885998809,0.42024371140011907,WSH,0.5797562885998809,NYM,0.07975628859988093,strong,WSH,0.0,WSH,0.5255546679211422,True,WSH,0.5484857654093788,True,2,2,True
2022,random_forest,661577,2022-04-08 00:08:00+00:00,2022,ATL,CIN,3.0,6.0,0,0.5347694708888556,0.4652305291111444,ATL,0.5347694708888556,CIN,0.034769470888855625,lean,ATL,0.0,ATL,0.5184665318506212,True,ATL,0.5225348171830732,True,2,2,True
2022,random_forest,661042,2022-04-08 01:38:00+00:00,2022,LAA,HOU,1.0,3.0,0,0.5541197381083969,0.4458802618916031,LAA,0.5541197381083969,HOU,0.054119738108396875,strong,LAA,0.0,LAA,0.5287943472587524,True,LAA,0.5563160983864037,True,2,2,True
2022,random_forest,663418,2022-04-08 01:40:00+00:00,2022,AZ,SD,4.0,2.0,1,0.6161392404688375,0.3838607595311625,AZ,0.6161392404688375,AZ,0.1161392404688375,strong,AZ,1.0,AZ,0.5316237934524738,True,AZ,0.5441263020431829,True,2,2,True
2022,random_forest,661333,2022-04-08 17:05:00+00:00,2022,NYY,BOS,6.0,5.0,1,0.5083581778999202,0.4916418221000798,NYY,0.5083581778999202,NYY,0.008358177899920216,pass,,,NYY,0.5290339792108872,True,NYY,0.5135948959173009,True,2,2,True
2022,random_forest,662888,2022-04-08 17:10:00+00:00,2022,DET,CWS,5.0,4.0,1,0.5322230814778748,0.4677769185221252,DET,0.5322230814778748,DET,0.03222308147787478,lean,DET,1.0,DET,0.5140846873368956,True,DET,0.5203603976541993,True,2,2,True
2022,random_forest,661131,2022-04-08 19:05:00+00:00,2022,PHI,OAK,9.0,5.0,1,0.5449379483703412,0.45506205162965885,PHI,0.5449379483703412,PHI,0.04493794837034115,lean,PHI,1.0,PHI,0.533584031057564,True,PHI,0.5330203728176098,True,2,2,True
2022,random_forest,661918,2022-04-08 19:10:00+00:00,2022,TB,BAL,2.0,1.0,1,0.5571354973146191,0.4428645026853809,TB,0.5571354973146191,TB,0.05713549731461909,strong,TB,1.0,TB,0.5277158272602519,True,TB,0.5497766877975006,True,2,2,True
