rule_name,model_name,rule,games,picks,hits,accuracy,coverage,avg_confidence
model:random_forest,random_forest,pass,3083,0,0.0,,0.31721370511369484,0.5145505292751607
model:random_forest,random_forest,lean,1771,1771,957.0,0.5403726708074534,0.1822203930445519,0.539678148774994
model:random_forest,random_forest,strong,4865,4865,2937.0,0.6036998972250771,0.5005659018417533,0.5951737726664841
model:random_forest,random_forest,actionable,6636,6636,3894.0,0.5867992766726944,0.6827862948863052,0.5803632316912235
model:random_forest_shallow,random_forest_shallow,pass,3528,0,0.0,,0.36300030867373184,0.5150301079217073
model:random_forest_shallow,random_forest_shallow,lean,1915,1915,1027.0,0.5362924281984334,0.19703673217409198,0.5396828626769796
model:random_forest_shallow,random_forest_shallow,strong,4276,4276,2607.0,0.6096819457436857,0.43996295915217615,0.587710191284764
model:random_forest_shallow,random_forest_shallow,actionable,6191,6191,3634.0,0.5869811015990954,0.6369996913262681,0.5728543789307166
model:soft_voting,soft_voting,pass,3072,0,0.0,,0.3160819014301883,0.5144980472433479
model:soft_voting,soft_voting,lean,1773,1773,987.0,0.55668358714044,0.18242617553246218,0.5396846741458128
model:soft_voting,soft_voting,strong,4874,4874,2977.0,0.6107919573245794,0.5014919230373496,0.5923782043882174
model:soft_voting,soft_voting,actionable,6647,6647,3964.0,0.5963592598164585,0.6839180985698117,0.5783228968630506
agreement,random_forest,pass,3432,0,0.0,,0.35312274925403847,0.5174370239771418
agreement,random_forest,lean,1498,1498,814.0,0.5433911882510013,0.15413108344479884,0.5400715398733226
agreement,random_forest,strong,4789,4789,2893.0,0.6040927124660681,0.49274616730116266,0.5956940184252437
agreement,random_forest,actionable,6287,6287,3707.0,0.5896293939875934,0.6468772507459615,0.5824408813374788
