variant,bucket,n_total,n_scored,n_hits,accuracy,holdout_season
raw_pred_total,pass,538,515,255,0.49514563106796117,2022
raw_pred_total,lean,957,920,444,0.4826086956521739,2022
raw_pred_total,strong,849,819,438,0.5347985347985348,2022
raw_pred_total,actionable,1806,1739,882,0.5071880391029328,2022
raw_pred_total,pass,980,946,491,0.5190274841437632,2023
raw_pred_total,lean,1080,1052,559,0.5313688212927756,2023
raw_pred_total,strong,329,321,188,0.5856697819314641,2023
raw_pred_total,actionable,1409,1373,747,0.5440640932265113,2023
raw_pred_total,pass,863,829,397,0.47889022919179736,2024
raw_pred_total,lean,1082,1046,580,0.5544933078393881,2024
raw_pred_total,strong,440,427,273,0.639344262295082,2024
raw_pred_total,actionable,1522,1473,853,0.5790902919212492,2024
raw_pred_total,pass,677,653,306,0.4686064318529862,2025
raw_pred_total,lean,837,805,394,0.4894409937888199,2025
raw_pred_total,strong,305,291,185,0.6357388316151202,2025
raw_pred_total,actionable,1142,1096,579,0.5282846715328468,2025
calibrated_pred_total,pass,538,515,255,0.49514563106796117,2022
calibrated_pred_total,lean,957,920,444,0.4826086956521739,2022
calibrated_pred_total,strong,849,819,438,0.5347985347985348,2022
calibrated_pred_total,actionable,1806,1739,882,0.5071880391029328,2022
calibrated_pred_total,pass,968,945,483,0.5111111111111111,2023
calibrated_pred_total,lean,1119,1080,591,0.5472222222222223,2023
calibrated_pred_total,strong,302,294,159,0.5408163265306123,2023
calibrated_pred_total,actionable,1421,1374,750,0.5458515283842795,2023
calibrated_pred_total,pass,875,846,456,0.5390070921985816,2024
calibrated_pred_total,lean,1190,1146,604,0.5270506108202443,2024
calibrated_pred_total,strong,320,310,202,0.6516129032258065,2024
calibrated_pred_total,actionable,1510,1456,806,0.5535714285714286,2024
calibrated_pred_total,pass,722,698,347,0.497134670487106,2025
calibrated_pred_total,lean,850,815,410,0.5030674846625767,2025
calibrated_pred_total,strong,247,236,149,0.6313559322033898,2025
calibrated_pred_total,actionable,1097,1051,559,0.5318744053282588,2025
quantile_p50,pass,654,632,324,0.5126582278481012,2022
quantile_p50,lean,1004,960,490,0.5104166666666666,2022
quantile_p50,strong,686,662,363,0.5483383685800605,2022
quantile_p50,actionable,1690,1622,853,0.5258939580764488,2022
quantile_p50,pass,794,767,390,0.5084745762711864,2023
quantile_p50,lean,1071,1039,550,0.5293551491819056,2023
quantile_p50,strong,524,513,286,0.557504873294347,2023
quantile_p50,actionable,1595,1552,836,0.538659793814433,2023
quantile_p50,pass,828,794,404,0.5088161209068011,2024
quantile_p50,lean,1100,1067,583,0.5463917525773195,2024
quantile_p50,strong,457,441,275,0.6235827664399093,2024
quantile_p50,actionable,1557,1508,858,0.5689655172413793,2024
quantile_p50,pass,665,644,336,0.5217391304347826,2025
quantile_p50,lean,833,795,414,0.5207547169811321,2025
quantile_p50,strong,321,310,179,0.5774193548387097,2025
quantile_p50,actionable,1154,1105,593,0.5366515837104072,2025
