feature,non_null_rate,unique_values
park_factor_hr,0.7851498189002305,108
park_factor_run,0.7851498189002305,115
sp_fastball_velocity_diff,0.8308363516628251,10093
sp_whiff_rate_diff,0.8309186697398748,10087
sp_statcast_xwoba_allowed_diff,0.8309186697398748,10094
sp_fip_diff,0.8765228844254198,10563
home_sp_avg_fastball_velocity_to_date,0.8974316759960488,10860
home_sp_avg_spin_rate_to_date,0.8974316759960488,10881
home_sp_barrel_rate_allowed_to_date,0.8975139940730984,4244
home_sp_hard_hit_rate_allowed_to_date,0.8975139940730984,5935
home_sp_whiff_rate_to_date,0.8975139940730984,8380
home_sp_breaking_ball_usage_to_date,0.8975139940730984,8941
home_sp_offspeed_usage_to_date,0.8975139940730984,9172
home_sp_fastball_usage_to_date,0.8975139940730984,9592
home_sp_statcast_woba_allowed_to_date,0.8975139940730984,9739
home_sp_avg_exit_velocity_allowed_to_date,0.8975139940730984,10832
home_sp_statcast_xwoba_allowed_to_date,0.8975139940730984,10899
away_sp_avg_spin_rate_to_date,0.897925584458347,10890
away_sp_barrel_rate_allowed_to_date,0.8980902206124465,4186
away_sp_hard_hit_rate_allowed_to_date,0.8980902206124465,5886
away_sp_whiff_rate_to_date,0.8980902206124465,8331
away_sp_breaking_ball_usage_to_date,0.8980902206124465,8898
away_sp_offspeed_usage_to_date,0.8980902206124465,9249
away_sp_fastball_usage_to_date,0.8980902206124465,9622
away_sp_statcast_woba_allowed_to_date,0.8980902206124465,9757
away_sp_avg_exit_velocity_allowed_to_date,0.8980902206124465,10847
away_sp_avg_fastball_velocity_to_date,0.8980902206124465,10858
away_sp_statcast_xwoba_allowed_to_date,0.8980902206124465,10904
home_sp_rest_days,0.921468554494567,117
home_sp_pitch_count_last_start,0.921468554494567,123
home_sp_ip_avg_last_3_starts,0.921468554494567,163
home_sp_whip_season_to_date,0.921468554494567,5926
home_sp_kbb_rate_season_to_date,0.921468554494567,5995
home_sp_fip_season_to_date,0.921468554494567,7923
home_sp_fip_last_3_starts,0.921468554494567,8221
home_sp_fip_last_5_starts,0.921468554494567,9710
away_sp_kbb_rate_season_to_date,0.9224563714191637,5976
away_sp_whip_season_to_date,0.9224563714191637,5982
away_sp_fip_season_to_date,0.9224563714191637,7901
away_sp_fip_last_3_starts,0.9224563714191637,8174
away_sp_fip_last_5_starts,0.9224563714191637,9673
away_sp_rest_days,0.9225386894962133,121
away_sp_pitch_count_last_start,0.9225386894962133,125
away_sp_ip_avg_last_3_starts,0.9225386894962133,163
lineup_statcast_xwoba_diff,0.9494567006914718,11534
away_lineup_barrel_rate,0.9716002634178466,11713
away_lineup_hard_hit_rate,0.9716002634178466,11767
away_lineup_statcast_woba,0.9716002634178466,11768
away_lineup_avg_exit_velocity,0.9716002634178466,11769
away_lineup_statcast_xwoba,0.9716002634178466,11770
home_lineup_barrel_rate,0.9719295357260455,11720
home_lineup_statcast_woba,0.9719295357260455,11765
home_lineup_hard_hit_rate,0.9719295357260455,11765
home_lineup_avg_exit_velocity,0.9719295357260455,11768
home_lineup_statcast_xwoba,0.9719295357260455,11769
away_lineup_vs_lhp_woba,0.9787619361211722,11463
home_lineup_vs_lhp_woba,0.9809845242015146,11473
lineup_platoon_woba_diff,0.9819723411261113,11929
home_lineup_platoon_woba,0.9869114257490945,11987
away_lineup_platoon_woba,0.9874053342113929,11993
away_lineup_vs_rhp_woba,0.9910273296015805,11944
home_lineup_vs_rhp_woba,0.9918505103720777,11954
travel_rest_diff,0.9935791899901218,8
travel_timezone_shift_diff,0.9935791899901218,10
lineup_previous_starter_return_diff,0.9935791899901218,18
travel_distance_diff,0.9935791899901218,2180
lineup_woba_diff,0.9935791899901218,12070
team_woba_diff,0.9935791899901218,12070
away_lineup_3to5_woba,0.9936615080671716,12065
away_lineup_previous_starter_return_rate,0.9937438261442213,7
away_lineup_previous_starter_missing_count,0.9937438261442213,7
away_travel_rest_days,0.9937438261442213,8
away_travel_timezone_shift,0.9937438261442213,10
away_team_recent_7g_win_rate,0.9937438261442213,19
away_team_recent_10g_win_rate,0.9937438261442213,33
away_travel_distance_miles,0.9937438261442213,520
away_team_runs_per_game_to_date,0.9937438261442213,6256
away_team_runs_allowed_per_game_to_date,0.9937438261442213,6337
away_bullpen_whip_season_to_date,0.9937438261442213,10292
away_bullpen_fip_season_to_date,0.9937438261442213,11134
away_lineup_bottom4_ops,0.9937438261442213,12032
away_team_ops_last_14d,0.9937438261442213,12052
away_team_woba_season_to_date,0.9937438261442213,12057
away_lineup_top3_woba,0.9937438261442213,12060
away_lineup_avg_ops,0.9937438261442213,12066
away_team_ops_last_30d,0.9937438261442213,12070
away_team_ops_season_to_date,0.9937438261442213,12071
away_lineup_avg_woba,0.9937438261442213,12072
away_lineup_weighted_woba_by_order,0.9937438261442213,12072
