feature_a,feature_b,abs_spearman_corr
away_lineup_previous_starter_return_rate,away_lineup_previous_starter_missing_count,1.0
home_lineup_previous_starter_return_rate,home_lineup_previous_starter_missing_count,0.9999946877828706
away_lineup_platoon_advantage_ratio,away_lineup_same_hand_ratio,0.9974778616060601
away_team_ops_season_to_date,away_team_woba_season_to_date,0.9965730241995406
home_team_ops_season_to_date,home_team_woba_season_to_date,0.9964804269952695
home_lineup_platoon_advantage_ratio,home_lineup_same_hand_ratio,0.9964747917781298
home_lineup_avg_ops,home_lineup_avg_woba,0.9920719530179909
away_lineup_avg_ops,away_lineup_avg_woba,0.9920250313879783
away_lineup_avg_woba,away_lineup_weighted_woba_by_order,0.9899304899250491
home_lineup_avg_woba,home_lineup_weighted_woba_by_order,0.9891837473733542
away_lineup_avg_woba,away_lineup_statcast_woba,0.9845121745317679
away_lineup_avg_ops,away_lineup_weighted_woba_by_order,0.9840636101516897
home_lineup_avg_ops,home_lineup_weighted_woba_by_order,0.9838578037389718
home_lineup_avg_woba,home_lineup_statcast_woba,0.9838508290789094
away_lineup_avg_ops,away_lineup_statcast_woba,0.974674637157335
away_lineup_weighted_woba_by_order,away_lineup_statcast_woba,0.9742577687876329
home_lineup_avg_ops,home_lineup_statcast_woba,0.9741356019768882
home_lineup_weighted_woba_by_order,home_lineup_statcast_woba,0.972770206426355
