feature_a,feature_b,abs_spearman_corr
away_lineup_previous_starter_return_rate,away_lineup_previous_starter_missing_count,1.0
home_lineup_previous_starter_return_rate,home_lineup_previous_starter_missing_count,0.9999946877828706
away_lineup_platoon_advantage_ratio,away_lineup_same_hand_ratio,0.9974778616060601
away_team_ops_season_to_date,away_team_woba_season_to_date,0.9965730241995406
home_team_ops_season_to_date,home_team_woba_season_to_date,0.9964804269952695
home_lineup_platoon_advantage_ratio,home_lineup_same_hand_ratio,0.9964747917781298
home_lineup_avg_ops,home_lineup_avg_woba,0.9920719530179909
away_lineup_avg_ops,away_lineup_avg_woba,0.9920250313879783
away_lineup_avg_woba,away_lineup_weighted_woba_by_order,0.9899304899250491
home_lineup_avg_woba,home_lineup_weighted_woba_by_order,0.9891837473733542
away_lineup_avg_woba,away_lineup_statcast_woba,0.9845121745317679
away_lineup_avg_ops,away_lineup_weighted_woba_by_order,0.9840636101516897
home_lineup_avg_ops,home_lineup_weighted_woba_by_order,0.9838578037389718
home_lineup_avg_woba,home_lineup_statcast_woba,0.9838508290789094
away_lineup_avg_ops,away_lineup_statcast_woba,0.974674637157335
away_lineup_weighted_woba_by_order,away_lineup_statcast_woba,0.9742577687876329
home_lineup_avg_ops,home_lineup_statcast_woba,0.9741356019768882
home_lineup_weighted_woba_by_order,home_lineup_statcast_woba,0.972770206426355
venue_longitude,venue_timezone_offset,0.9442693497164766
home_closer_used_yesterday,away_closer_used_yesterday,0.9219748802572437
home_travel_rest_days,away_travel_rest_days,0.9082100790239445
home_sp_whip_season_to_date,home_sp_statcast_woba_allowed_to_date,0.9052205610337759
away_sp_whip_season_to_date,away_sp_statcast_woba_allowed_to_date,0.8998882902987602
home_team_ops_season_to_date,home_team_runs_per_game_to_date,0.8877757714534527
home_team_woba_season_to_date,home_team_runs_per_game_to_date,0.8874644129470295
away_team_ops_season_to_date,away_team_runs_per_game_to_date,0.886596563909823
away_team_woba_season_to_date,away_team_runs_per_game_to_date,0.8860103939355944
away_team_recent_7g_win_rate,away_team_recent_10g_win_rate,0.8648918642839587
home_team_recent_7g_win_rate,home_team_recent_10g_win_rate,0.860396652323281
home_sp_fip_last_3_starts,home_sp_fip_last_5_starts,0.8521812310272597
away_sp_fip_last_3_starts,away_sp_fip_last_5_starts,0.8509937081810925
home_lineup_avg_woba,home_lineup_vs_rhp_woba,0.8302212257332539
home_travel_is_back_to_back,away_travel_is_back_to_back,0.828334350383382
home_lineup_weighted_woba_by_order,home_lineup_vs_rhp_woba,0.8264902761728234
away_lineup_avg_woba,away_lineup_vs_rhp_woba,0.8235886300350332
away_lineup_hard_hit_rate,away_lineup_avg_exit_velocity,0.823167886461447
home_lineup_avg_ops,home_lineup_vs_rhp_woba,0.8229589512479718
away_lineup_avg_ops,away_lineup_vs_rhp_woba,0.818349759511454
away_lineup_weighted_woba_by_order,away_lineup_vs_rhp_woba,0.8174523180802019
home_lineup_vs_rhp_woba,home_lineup_statcast_woba,0.8133643455157
home_lineup_hard_hit_rate,home_lineup_avg_exit_velocity,0.8126771562376301
home_sp_fip_season_to_date,home_sp_fip_last_5_starts,0.8108433882752809
away_sp_fip_season_to_date,away_sp_fip_last_5_starts,0.8107298423238379
away_lineup_vs_rhp_woba,away_lineup_statcast_woba,0.8059023553132086
away_team_ops_season_to_date,away_team_ops_last_30d,0.7898241210655095
home_team_ops_season_to_date,home_team_ops_last_30d,0.7889586339741484
away_team_woba_season_to_date,away_team_ops_last_30d,0.7869013677766542
home_team_woba_season_to_date,home_team_ops_last_30d,0.7857730373545265
home_bullpen_ip_last_1d,home_bullpen_fatigue_score,0.7802310480271476
away_team_ops_last_14d,away_team_ops_last_30d,0.7655191488464235
home_bullpen_ip_last_3d,home_bullpen_fatigue_score,0.7645179373852535
lineup_woba_diff,lineup_statcast_xwoba_diff,0.7635930790173019
home_lineup_avg_woba,home_lineup_statcast_xwoba,0.7600347403979817
home_team_ops_last_14d,home_team_ops_last_30d,0.7588082514269437
away_lineup_avg_woba,away_lineup_statcast_xwoba,0.7586953683527581
away_bullpen_ip_last_1d,away_bullpen_fatigue_score,0.7585256943607941
away_lineup_weighted_woba_by_order,away_lineup_statcast_xwoba,0.7582121068397208
home_lineup_weighted_woba_by_order,home_lineup_statcast_xwoba,0.7581131666950413
away_bullpen_ip_last_3d,away_bullpen_fatigue_score,0.7571930168150793
home_lineup_statcast_xwoba,home_lineup_statcast_woba,0.7556593943231108
away_lineup_statcast_xwoba,away_lineup_statcast_woba,0.7540871333303335
home_sp_statcast_xwoba_allowed_to_date,home_sp_statcast_woba_allowed_to_date,0.7469681589786799
home_lineup_avg_ops,home_lineup_statcast_xwoba,0.7464225693465345
away_lineup_avg_ops,away_lineup_statcast_xwoba,0.7443601721204699
away_lineup_vs_rhp_woba,away_lineup_platoon_woba,0.7438696804585975
away_sp_hard_hit_rate_allowed_to_date,away_sp_avg_exit_velocity_allowed_to_date,0.7430379351825582
home_lineup_avg_ops,home_lineup_bottom4_ops,0.7429378995740068
home_lineup_avg_woba,home_lineup_bottom4_ops,0.7424228399331358
away_lineup_avg_woba,away_lineup_platoon_woba,0.7419477138169909
away_sp_statcast_xwoba_allowed_to_date,away_sp_statcast_woba_allowed_to_date,0.7417859416678433
travel_distance_diff,travel_timezone_shift_diff,0.7398010598998446
home_sp_fip_season_to_date,home_sp_statcast_xwoba_allowed_to_date,0.7392544404711728
away_lineup_weighted_woba_by_order,away_lineup_platoon_woba,0.7380535822645284
away_lineup_avg_ops,away_lineup_bottom4_ops,0.7377709178343509
away_lineup_avg_ops,away_lineup_platoon_woba,0.7368368530536649
away_lineup_avg_woba,away_lineup_bottom4_ops,0.7361892724005786
home_lineup_avg_woba,home_lineup_platoon_woba,0.7360491508143285
home_lineup_weighted_woba_by_order,home_lineup_platoon_woba,0.7330899400744278
home_lineup_avg_ops,home_lineup_platoon_woba,0.7326685278692512
home_sp_fip_season_to_date,home_sp_statcast_woba_allowed_to_date,0.7320009159891612
away_sp_fip_season_to_date,away_sp_statcast_xwoba_allowed_to_date,0.7318914268167563
home_lineup_bottom4_ops,home_lineup_statcast_woba,0.7295756105946639
away_lineup_platoon_woba,away_lineup_statcast_woba,0.7295286029580769
home_bullpen_ip_last_5d,home_bullpen_fatigue_score,0.7282698253356669
home_lineup_platoon_woba,home_lineup_statcast_woba,0.723322963684963
home_sp_hard_hit_rate_allowed_to_date,home_sp_avg_exit_velocity_allowed_to_date,0.7228627813507997
away_lineup_bottom4_ops,away_lineup_statcast_woba,0.7223635628915165
away_sp_fip_season_to_date,away_sp_statcast_woba_allowed_to_date,0.7213469631817517
sp_fip_diff,sp_statcast_xwoba_allowed_diff,0.7206444507983664
home_lineup_vs_rhp_woba,home_lineup_platoon_woba,0.7201015065794241
away_sp_fip_season_to_date,away_sp_fip_last_3_starts,0.7158863987866717
home_sp_fip_season_to_date,home_sp_fip_last_3_starts,0.7133327582705077
