variant,model_name,mean_accuracy,mean_accuracy_delta_vs_full,mean_log_loss_delta_vs_full,mean_accuracy_conf_60,mean_coverage_conf_60,mean_feature_count
without_lineup_optional,extra_trees,0.5557152344696372,-0.00329307052810095,0.000554223207063425,0.7015999793217536,0.07377051471672025,142.5
without_bullpen_role,extra_trees,0.5612717218384846,0.0022634168407462997,0.00043514611102093027,0.6976094602715314,0.0713015906899992,159.5
without_travel,extra_trees,0.5593172434590943,0.00030893846135597494,-0.00013001014716797964,0.6846271715668643,0.07593143209537698,144.5
without_lineup_optional,random_forest_shallow,0.5667247355768009,0.00143999037691,-0.00018123570535998588,0.6820388893519352,0.12799395846145759,142.5
full,extra_trees,0.5590083049977382,0.0,0.0,0.6780748432012911,0.07088955979445885,161.5
without_all_research_groups,extra_trees,0.5576712799895637,-0.0013370250081745749,0.0006912768785672749,0.6775916995881983,0.07737193073408248,109.5
full,random_forest_shallow,0.5652847451998909,0.0,0.0,0.6722572308872619,0.13097809052820256,161.5
without_pitch_stuff,random_forest_shallow,0.5624035361467318,-0.0028812090531591,0.000341569083018075,0.6705504227370744,0.1345791677043678,147.5
without_travel,random_forest_shallow,0.5677544739744548,0.0024697287745638246,-0.00015607936780044998,0.666368128183104,0.13221299727063415,144.5
without_pitch_stuff,extra_trees,0.563329758558705,0.0043214535609668245,0.000570164946908225,0.6661811421052618,0.0750054214591518,147.5
without_all_research_groups,random_forest_shallow,0.5610654522598166,-0.00421929294007425,-0.0001508264217516559,0.6657862483289428,0.13992925842909829,109.5
without_bullpen_role,random_forest_shallow,0.5668282515624814,0.00154350636259055,0.000190557699131575,0.6656705630489255,0.1297430143651725,159.5
without_bullpen_role,random_forest,0.5650793650793651,-0.0022635015510455497,-0.00013491417096015,0.6509799028092863,0.1918899630154833,159.5
full,random_forest,0.5673428666304107,0.0,0.0,0.6505728913404826,0.18623131502574342,161.5
without_lineup_optional,random_forest,0.5690916260480782,0.00174875941766755,-0.00017384707761055002,0.6479825197769463,0.19137619505054662,142.5
without_all_research_groups,random_forest,0.5648729260800986,-0.002469940550311975,0.000210150026263775,0.6473764434636371,0.19333101227113392,109.5
without_travel,random_forest,0.5634327662825902,-0.00391010034782045,0.000377332731552075,0.6470462185459309,0.190860944655373,144.5
without_pitch_stuff,random_forest,0.5638439924302876,-0.003498874200123025,0.0003822140585900749,0.641320470255343,0.193125081533663,147.5
