column,dtype,rows,non_null,nulls,null_rate,zero_rate,min,median,max
away_bullpen_fip_season_to_date,float64,12148,0,12148,1.0,0.0,,,
away_bullpen_whip_season_to_date,float64,12148,0,12148,1.0,0.0,,,
away_lineup_avg_exit_velocity,float64,12148,0,12148,1.0,0.0,,,
away_lineup_barrel_rate,float64,12148,0,12148,1.0,0.0,,,
away_lineup_hard_hit_rate,float64,12148,0,12148,1.0,0.0,,,
away_lineup_statcast_woba,float64,12148,0,12148,1.0,0.0,,,
away_lineup_statcast_xwoba,float64,12148,0,12148,1.0,0.0,,,
away_lineup_vs_lhp_woba,float64,12148,0,12148,1.0,0.0,,,
away_lineup_vs_rhp_woba,float64,12148,0,12148,1.0,0.0,,,
away_sp_avg_exit_velocity_allowed_to_date,float64,12148,0,12148,1.0,0.0,,,
away_sp_barrel_rate_allowed_to_date,float64,12148,0,12148,1.0,0.0,,,
away_sp_hard_hit_rate_allowed_to_date,float64,12148,0,12148,1.0,0.0,,,
away_sp_statcast_woba_allowed_to_date,float64,12148,0,12148,1.0,0.0,,,
away_sp_statcast_xwoba_allowed_to_date,float64,12148,0,12148,1.0,0.0,,,
home_bullpen_fip_season_to_date,float64,12148,0,12148,1.0,0.0,,,
home_bullpen_whip_season_to_date,float64,12148,0,12148,1.0,0.0,,,
home_lineup_avg_exit_velocity,float64,12148,0,12148,1.0,0.0,,,
home_lineup_barrel_rate,float64,12148,0,12148,1.0,0.0,,,
home_lineup_hard_hit_rate,float64,12148,0,12148,1.0,0.0,,,
home_lineup_statcast_woba,float64,12148,0,12148,1.0,0.0,,,
home_lineup_statcast_xwoba,float64,12148,0,12148,1.0,0.0,,,
home_lineup_vs_lhp_woba,float64,12148,0,12148,1.0,0.0,,,
home_lineup_vs_rhp_woba,float64,12148,0,12148,1.0,0.0,,,
home_sp_avg_exit_velocity_allowed_to_date,float64,12148,0,12148,1.0,0.0,,,
home_sp_barrel_rate_allowed_to_date,float64,12148,0,12148,1.0,0.0,,,
home_sp_hard_hit_rate_allowed_to_date,float64,12148,0,12148,1.0,0.0,,,
home_sp_statcast_woba_allowed_to_date,float64,12148,0,12148,1.0,0.0,,,
home_sp_statcast_xwoba_allowed_to_date,float64,12148,0,12148,1.0,0.0,,,
humidity,float64,12148,0,12148,1.0,0.0,,,
lineup_statcast_xwoba_diff,float64,12148,0,12148,1.0,0.0,,,
park_factor_hr,float64,12148,0,12148,1.0,0.0,,,
park_factor_run,float64,12148,0,12148,1.0,0.0,,,
sp_statcast_xwoba_allowed_diff,float64,12148,0,12148,1.0,0.0,,,
wind_direction,str,12148,9400,2748,0.22621007573263088,,,,
sp_fip_diff,float64,12148,11244,904,0.07441554165294699,0.0005762265393480408,-35.66666666666667,-0.0177747647808046,62.75000000000005
home_sp_fip_last_3_starts,float64,12148,11508,640,0.052683569311820874,0.0,-1.8999999999999984,4.1,41.1
home_sp_fip_last_5_starts,float64,12148,11508,640,0.052683569311820874,0.0,-1.1,4.199999999999999,41.1
home_sp_fip_season_to_date,float64,12148,11508,640,0.052683569311820874,0.0,-1.100000000000001,3.970967741935484,41.1
home_sp_ip_avg_last_3_starts,float64,12148,11508,640,0.052683569311820874,0.0,0.3333333333333332,5.333333333333333,8.555555555555555
home_sp_kbb_rate_season_to_date,float64,12148,11508,640,0.052683569311820874,0.010948304247612776,-0.3571428571428571,0.14160065598118693,0.6666666666666666
home_sp_pitch_count_last_start,float64,12148,11508,640,0.052683569311820874,0.9473164306881792,0.0,0.0,0.0
home_sp_rest_days,float64,12148,11508,640,0.052683569311820874,0.0,1.0,6.0,134.0
home_sp_whip_season_to_date,float64,12148,11508,640,0.052683569311820874,0.0009054988475469213,0.0,1.248447204968944,21.000000000000018
away_sp_fip_last_3_starts,float64,12148,11537,611,0.05029634507737899,0.0,-1.8999999999999992,4.1,69.1
away_sp_fip_last_5_starts,float64,12148,11537,611,0.05029634507737899,0.0,-1.233333333333333,4.167032967032967,69.1
away_sp_fip_season_to_date,float64,12148,11537,611,0.05029634507737899,0.0,-1.233333333333333,3.957142857142857,69.10000000000005
away_sp_ip_avg_last_3_starts,float64,12148,11537,611,0.05029634507737899,0.0,0.3333333333333333,5.333333333333333,9.0
away_sp_kbb_rate_season_to_date,float64,12148,11537,611,0.05029634507737899,0.009713533091866974,-0.3125,0.1417069243156199,0.7222222222222222
away_sp_pitch_count_last_start,float64,12148,11537,611,0.05029634507737899,0.949703654922621,0.0,0.0,0.0
away_sp_rest_days,float64,12148,11537,611,0.05029634507737899,0.0,1.0,6.0,159.0
away_sp_whip_season_to_date,float64,12148,11537,611,0.05029634507737899,0.0007408626934474811,0.0,1.2429906542056075,15.000000000000014
team_woba_diff,float64,12148,12070,78,0.006420810009878169,0.0,-0.2902424242424244,-0.00018572807169525002,0.2554278074866311
away_team_ops_last_14d,float64,12148,12072,76,0.006256173855778729,0.0,0.2903225806451612,0.7173963411562922,1.2905982905982905
away_team_ops_last_30d,float64,12148,12072,76,0.006256173855778729,0.0,0.2903225806451612,0.7172573671289977,1.2905982905982905
away_team_ops_season_to_date,float64,12148,12072,76,0.006256173855778729,0.0,0.2903225806451612,0.7104933432645482,1.2905982905982905
away_team_recent_10g_win_rate,float64,12148,12072,76,0.006256173855778729,0.009466578860717813,0.0,0.5,1.0
away_team_recent_7g_win_rate,float64,12148,12072,76,0.006256173855778729,0.019015475798485348,0.0,0.5714285714285714,1.0
away_team_runs_allowed_per_game_to_date,float64,12148,12072,76,0.006256173855778729,0.0004939084622983208,0.0,4.328358208955224,16.0
away_team_runs_per_game_to_date,float64,12148,12072,76,0.006256173855778729,0.0004115903852486006,0.0,4.384615384615385,12.0
away_team_woba_season_to_date,float64,12148,12072,76,0.006256173855778729,0.0,0.1270967741935484,0.3150579270467842,0.5393333333333334
home_team_ops_last_14d,float64,12148,12074,74,0.006091537701679289,0.0,0.2,0.7133853517583753,1.2903665814151748
home_team_ops_last_30d,float64,12148,12074,74,0.006091537701679289,0.0,0.2,0.7171609272717807,1.2903665814151748
home_team_ops_season_to_date,float64,12148,12074,74,0.006091537701679289,0.0,0.2,0.7098233155886824,1.2903665814151748
home_team_recent_10g_win_rate,float64,12148,12074,74,0.006091537701679289,0.009713533091866974,0.0,0.5,1.0
home_team_recent_7g_win_rate,float64,12148,12074,74,0.006091537701679289,0.019262430029634507,0.0,0.4285714285714285,1.0
home_team_runs_allowed_per_game_to_date,float64,12148,12074,74,0.006091537701679289,0.0004115903852486006,0.0,4.333333333333333,12.0
home_team_runs_per_game_to_date,float64,12148,12074,74,0.006091537701679289,0.0004939084622983208,0.0,4.379436194311603,16.0
home_team_woba_season_to_date,float64,12148,12074,74,0.006091537701679289,0.0,0.089,0.3147008242326721,0.5251764705882354
lineup_woba_diff,float64,12148,12132,16,0.0013170892327955218,0.0,-0.3234464285714286,4.8172622331643655e-05,0.3583885836385836
away_lineup_3to5_woba,float64,12148,12133,15,0.0012347711557458018,0.0,0.0574999999999999,0.3395283809317329,0.935
away_lineup_avg_ops,float64,12148,12133,15,0.0012347711557458018,0.0,0.2777777777777778,0.7199599386859297,1.43125
away_lineup_avg_woba,float64,12148,12133,15,0.0012347711557458018,0.0,0.1226945181255526,0.3185478221112887,0.5895
away_lineup_bottom4_ops,float64,12148,12133,15,0.0012347711557458018,0.0002469542311491604,0.0,0.6495776836156657,1.9472222222222224
away_lineup_top3_woba,float64,12148,12133,15,0.0012347711557458018,8.231807704972011e-05,0.0,0.3462167961323823,0.7986666666666666
away_lineup_weighted_woba_by_order,float64,12148,12133,15,0.0012347711557458018,0.0,0.1344925729442971,0.322780633286191,0.6026739130434783
home_lineup_3to5_woba,float64,12148,12133,15,0.0012347711557458018,8.231807704972011e-05,0.0,0.3394144522233456,0.6791111111111112
home_lineup_avg_ops,float64,12148,12133,15,0.0012347711557458018,0.0,0.2261904761904762,0.7201413560075771,1.2631393298059963
home_lineup_avg_woba,float64,12148,12133,15,0.0012347711557458018,0.0,0.11,0.3185852324074616,0.5210586419753087
home_lineup_bottom4_ops,float64,12148,12133,15,0.0012347711557458018,0.0004115903852486006,0.0,0.6505001062441604,1.7905604002055706
home_lineup_top3_woba,float64,12148,12133,15,0.0012347711557458018,0.0,0.0574999999999999,0.3461661327246119,0.7055714285714286
home_lineup_weighted_woba_by_order,float64,12148,12133,15,0.0012347711557458018,0.0,0.1151506024096385,0.3227636665264137,0.5386333333333335
