season,column,rows,null_rate_all,null_rate_may_onward,non_null_may_onward
2021,away_bullpen_fip_season_to_date,2429,1.0,1.0,0
2022,away_bullpen_fip_season_to_date,2430,1.0,1.0,0
2023,away_bullpen_fip_season_to_date,2430,1.0,1.0,0
2024,away_bullpen_fip_season_to_date,2429,1.0,1.0,0
2025,away_bullpen_fip_season_to_date,2430,1.0,1.0,0
2021,away_bullpen_whip_season_to_date,2429,1.0,1.0,0
2022,away_bullpen_whip_season_to_date,2430,1.0,1.0,0
2023,away_bullpen_whip_season_to_date,2430,1.0,1.0,0
2024,away_bullpen_whip_season_to_date,2429,1.0,1.0,0
2025,away_bullpen_whip_season_to_date,2430,1.0,1.0,0
2021,home_bullpen_fip_season_to_date,2429,1.0,1.0,0
2022,home_bullpen_fip_season_to_date,2430,1.0,1.0,0
2023,home_bullpen_fip_season_to_date,2430,1.0,1.0,0
2024,home_bullpen_fip_season_to_date,2429,1.0,1.0,0
2025,home_bullpen_fip_season_to_date,2430,1.0,1.0,0
2021,home_bullpen_whip_season_to_date,2429,1.0,1.0,0
2022,home_bullpen_whip_season_to_date,2430,1.0,1.0,0
2023,home_bullpen_whip_season_to_date,2430,1.0,1.0,0
2024,home_bullpen_whip_season_to_date,2429,1.0,1.0,0
2025,home_bullpen_whip_season_to_date,2430,1.0,1.0,0
2021,home_sp_fip_last_3_starts,2429,0.05763688760806916,0.024926686217008796,1995
2021,home_sp_fip_last_5_starts,2429,0.05763688760806916,0.024926686217008796,1995
2021,home_sp_fip_season_to_date,2429,0.05763688760806916,0.024926686217008796,1995
2021,home_sp_ip_avg_last_3_starts,2429,0.05763688760806916,0.024926686217008796,1995
2021,home_sp_kbb_rate_season_to_date,2429,0.05763688760806916,0.024926686217008796,1995
2021,home_sp_pitch_count_last_start,2429,0.05763688760806916,0.024926686217008796,1995
2021,home_sp_rest_days,2429,0.05763688760806916,0.024926686217008796,1995
2021,home_sp_whip_season_to_date,2429,0.05763688760806916,0.024926686217008796,1995
2024,home_sp_fip_last_3_starts,2429,0.054343351173322355,0.02276176024279211,1932
2024,home_sp_fip_last_5_starts,2429,0.054343351173322355,0.02276176024279211,1932
2024,home_sp_fip_season_to_date,2429,0.054343351173322355,0.02276176024279211,1932
2024,home_sp_ip_avg_last_3_starts,2429,0.054343351173322355,0.02276176024279211,1932
2024,home_sp_kbb_rate_season_to_date,2429,0.054343351173322355,0.02276176024279211,1932
2024,home_sp_pitch_count_last_start,2429,0.054343351173322355,0.02276176024279211,1932
2024,home_sp_rest_days,2429,0.054343351173322355,0.02276176024279211,1932
2024,home_sp_whip_season_to_date,2429,0.054343351173322355,0.02276176024279211,1932
2022,away_sp_fip_last_3_starts,2430,0.050617283950617285,0.02082347373402745,2069
2022,away_sp_fip_last_5_starts,2430,0.050617283950617285,0.02082347373402745,2069
2022,away_sp_fip_season_to_date,2430,0.050617283950617285,0.02082347373402745,2069
2022,away_sp_ip_avg_last_3_starts,2430,0.050617283950617285,0.02082347373402745,2069
2022,away_sp_kbb_rate_season_to_date,2430,0.050617283950617285,0.02082347373402745,2069
2022,away_sp_pitch_count_last_start,2430,0.050617283950617285,0.02082347373402745,2069
2022,away_sp_rest_days,2430,0.050617283950617285,0.02082347373402745,2069
2022,away_sp_whip_season_to_date,2430,0.050617283950617285,0.02082347373402745,2069
2023,home_sp_fip_last_3_starts,2430,0.05185185185185185,0.017955112219451373,1969
2023,home_sp_fip_last_5_starts,2430,0.05185185185185185,0.017955112219451373,1969
2023,home_sp_fip_season_to_date,2430,0.05185185185185185,0.017955112219451373,1969
2023,home_sp_ip_avg_last_3_starts,2430,0.05185185185185185,0.017955112219451373,1969
2023,home_sp_kbb_rate_season_to_date,2430,0.05185185185185185,0.017955112219451373,1969
2023,home_sp_pitch_count_last_start,2430,0.05185185185185185,0.017955112219451373,1969
2023,home_sp_rest_days,2430,0.05185185185185185,0.017955112219451373,1969
2023,home_sp_whip_season_to_date,2430,0.05185185185185185,0.017955112219451373,1969
2025,away_sp_fip_last_3_starts,2430,0.04897119341563786,0.017748478701825558,1937
2025,away_sp_fip_last_5_starts,2430,0.04897119341563786,0.017748478701825558,1937
2025,away_sp_fip_season_to_date,2430,0.04897119341563786,0.017748478701825558,1937
2025,away_sp_ip_avg_last_3_starts,2430,0.04897119341563786,0.017748478701825558,1937
2025,away_sp_kbb_rate_season_to_date,2430,0.04897119341563786,0.017748478701825558,1937
2025,away_sp_pitch_count_last_start,2430,0.04897119341563786,0.017748478701825558,1937
2025,away_sp_rest_days,2430,0.04897119341563786,0.017748478701825558,1937
2025,away_sp_whip_season_to_date,2430,0.04897119341563786,0.017748478701825558,1937
2024,away_sp_fip_last_3_starts,2429,0.05557842733635241,0.017703591299949417,1942
2024,away_sp_fip_last_5_starts,2429,0.05557842733635241,0.017703591299949417,1942
2024,away_sp_fip_season_to_date,2429,0.05557842733635241,0.017703591299949417,1942
2024,away_sp_ip_avg_last_3_starts,2429,0.05557842733635241,0.017703591299949417,1942
2024,away_sp_kbb_rate_season_to_date,2429,0.05557842733635241,0.017703591299949417,1942
2024,away_sp_pitch_count_last_start,2429,0.05557842733635241,0.017703591299949417,1942
2024,away_sp_rest_days,2429,0.05557842733635241,0.017703591299949417,1942
2024,away_sp_whip_season_to_date,2429,0.05557842733635241,0.017703591299949417,1942
2022,home_sp_fip_last_3_starts,2430,0.04897119341563786,0.017037387600567912,2077
2022,home_sp_fip_last_5_starts,2430,0.04897119341563786,0.017037387600567912,2077
2022,home_sp_fip_season_to_date,2430,0.04897119341563786,0.017037387600567912,2077
2022,home_sp_ip_avg_last_3_starts,2430,0.04897119341563786,0.017037387600567912,2077
2022,home_sp_kbb_rate_season_to_date,2430,0.04897119341563786,0.017037387600567912,2077
2022,home_sp_pitch_count_last_start,2430,0.04897119341563786,0.017037387600567912,2077
2022,home_sp_rest_days,2430,0.04897119341563786,0.017037387600567912,2077
2022,home_sp_whip_season_to_date,2430,0.04897119341563786,0.017037387600567912,2077
2025,home_sp_fip_last_3_starts,2430,0.050617283950617285,0.015720081135902637,1941
2025,home_sp_fip_last_5_starts,2430,0.050617283950617285,0.015720081135902637,1941
2025,home_sp_fip_season_to_date,2430,0.050617283950617285,0.015720081135902637,1941
2025,home_sp_ip_avg_last_3_starts,2430,0.050617283950617285,0.015720081135902637,1941
2025,home_sp_kbb_rate_season_to_date,2430,0.050617283950617285,0.015720081135902637,1941
2025,home_sp_pitch_count_last_start,2430,0.050617283950617285,0.015720081135902637,1941
2025,home_sp_rest_days,2430,0.050617283950617285,0.015720081135902637,1941
2025,home_sp_whip_season_to_date,2430,0.050617283950617285,0.015720081135902637,1941
2023,away_sp_fip_last_3_starts,2430,0.04979423868312757,0.015461346633416459,1974
2023,away_sp_fip_last_5_starts,2430,0.04979423868312757,0.015461346633416459,1974
2023,away_sp_fip_season_to_date,2430,0.04979423868312757,0.015461346633416459,1974
2023,away_sp_ip_avg_last_3_starts,2430,0.04979423868312757,0.015461346633416459,1974
2023,away_sp_kbb_rate_season_to_date,2430,0.04979423868312757,0.015461346633416459,1974
2023,away_sp_pitch_count_last_start,2430,0.04979423868312757,0.015461346633416459,1974
2023,away_sp_rest_days,2430,0.04979423868312757,0.015461346633416459,1974
2023,away_sp_whip_season_to_date,2430,0.04979423868312757,0.015461346633416459,1974
2021,away_sp_fip_last_3_starts,2429,0.04652120214079868,0.01466275659824047,2016
2021,away_sp_fip_last_5_starts,2429,0.04652120214079868,0.01466275659824047,2016
2021,away_sp_fip_season_to_date,2429,0.04652120214079868,0.01466275659824047,2016
2021,away_sp_ip_avg_last_3_starts,2429,0.04652120214079868,0.01466275659824047,2016
2021,away_sp_kbb_rate_season_to_date,2429,0.04652120214079868,0.01466275659824047,2016
2021,away_sp_pitch_count_last_start,2429,0.04652120214079868,0.01466275659824047,2016
2021,away_sp_rest_days,2429,0.04652120214079868,0.01466275659824047,2016
2021,away_sp_whip_season_to_date,2429,0.04652120214079868,0.01466275659824047,2016
2021,away_bullpen_fatigue_score,2429,0.0,0.0,2046
2022,away_bullpen_fatigue_score,2430,0.0,0.0,2113
2023,away_bullpen_fatigue_score,2430,0.0,0.0,2005
2024,away_bullpen_fatigue_score,2429,0.0,0.0,1977
2025,away_bullpen_fatigue_score,2430,0.0,0.0,1972
2021,away_bullpen_ip_last_1d,2429,0.0,0.0,2046
2022,away_bullpen_ip_last_1d,2430,0.0,0.0,2113
2023,away_bullpen_ip_last_1d,2430,0.0,0.0,2005
2024,away_bullpen_ip_last_1d,2429,0.0,0.0,1977
2025,away_bullpen_ip_last_1d,2430,0.0,0.0,1972
2021,away_bullpen_ip_last_3d,2429,0.0,0.0,2046
2022,away_bullpen_ip_last_3d,2430,0.0,0.0,2113
2023,away_bullpen_ip_last_3d,2430,0.0,0.0,2005
2024,away_bullpen_ip_last_3d,2429,0.0,0.0,1977
2025,away_bullpen_ip_last_3d,2430,0.0,0.0,1972
2021,away_bullpen_ip_last_5d,2429,0.0,0.0,2046
2022,away_bullpen_ip_last_5d,2430,0.0,0.0,2113
2023,away_bullpen_ip_last_5d,2430,0.0,0.0,2005
2024,away_bullpen_ip_last_5d,2429,0.0,0.0,1977
2025,away_bullpen_ip_last_5d,2430,0.0,0.0,1972
2021,away_closer_used_yesterday,2429,0.0,0.0,2046
2022,away_closer_used_yesterday,2430,0.0,0.0,2113
2023,away_closer_used_yesterday,2430,0.0,0.0,2005
2024,away_closer_used_yesterday,2429,0.0,0.0,1977
2025,away_closer_used_yesterday,2430,0.0,0.0,1972
2021,away_high_leverage_rp_fatigue_score,2429,0.0,0.0,2046
2022,away_high_leverage_rp_fatigue_score,2430,0.0,0.0,2113
2023,away_high_leverage_rp_fatigue_score,2430,0.0,0.0,2005
2024,away_high_leverage_rp_fatigue_score,2429,0.0,0.0,1977
2025,away_high_leverage_rp_fatigue_score,2430,0.0,0.0,1972
2021,away_team_ops_last_14d,2429,0.006175380815150268,0.0,2046
2022,away_team_ops_last_14d,2430,0.006172839506172839,0.0,2113
