column,dtype,rows,non_null,nulls,null_rate,zero_rate,min,median,max
humidity,float64,90,0,90,1.0,0.0,,,
park_factor_hr,float64,90,0,90,1.0,0.0,,,
park_factor_run,float64,90,0,90,1.0,0.0,,,
sp_statcast_xwoba_allowed_diff,float64,90,11,79,0.8777777777777778,0.0,-0.3092796259676739,-0.0444755830039525,0.1746318218623481
sp_fip_diff,float64,90,12,78,0.8666666666666667,0.0,-5.625730994152048,-0.40659340659340604,5.892857142857144
away_sp_avg_exit_velocity_allowed_to_date,float64,90,13,77,0.8555555555555555,0.0,76.275,82.33103448275861,88.96521739130436
away_sp_barrel_rate_allowed_to_date,float64,90,13,77,0.8555555555555555,0.03333333333333333,0.0,0.0666666666666666,0.1304347826086956
away_sp_hard_hit_rate_allowed_to_date,float64,90,13,77,0.8555555555555555,0.0,0.1428571428571428,0.25,0.4782608695652174
away_sp_statcast_woba_allowed_to_date,float64,90,13,77,0.8555555555555555,0.0,0.0482758620689654,0.3125,0.5269230769230769
away_sp_statcast_xwoba_allowed_to_date,float64,90,13,77,0.8555555555555555,0.0,0.1382857142857143,0.3579041553030303,0.4054298447204968
home_sp_avg_exit_velocity_allowed_to_date,float64,90,13,77,0.8555555555555555,0.0,78.22499999999998,82.29999999999998,88.08636363636364
home_sp_barrel_rate_allowed_to_date,float64,90,13,77,0.8555555555555555,0.044444444444444446,0.0,0.0384615384615384,0.1818181818181818
home_sp_hard_hit_rate_allowed_to_date,float64,90,13,77,0.8555555555555555,0.0,0.074074074074074,0.28125,0.5
home_sp_statcast_woba_allowed_to_date,float64,90,13,77,0.8555555555555555,0.0,0.1285714285714286,0.2552631578947368,0.4925
home_sp_statcast_xwoba_allowed_to_date,float64,90,13,77,0.8555555555555555,0.0,0.1840635,0.335323459047619,0.4797482415094339
away_sp_fip_last_3_starts,float64,90,14,76,0.8444444444444444,0.0,-0.2333333333333334,4.657692307692308,8.35
away_sp_fip_last_5_starts,float64,90,14,76,0.8444444444444444,0.0,-0.2333333333333334,4.657692307692308,8.35
away_sp_fip_season_to_date,float64,90,14,76,0.8444444444444444,0.0,-0.2333333333333334,4.657692307692308,8.350000000000001
away_sp_ip_avg_last_3_starts,float64,90,14,76,0.8444444444444444,0.0,2.6666666666666665,5.333333333333333,9.0
away_sp_kbb_rate_season_to_date,float64,90,14,76,0.8444444444444444,0.022222222222222223,-0.1176470588235294,0.17711598746081503,0.4761904761904761
away_sp_pitch_count_last_start,float64,90,14,76,0.8444444444444444,0.0,76.0,85.0,105.0
away_sp_rest_days,float64,90,14,76,0.8444444444444444,0.0,4.0,5.0,5.0
away_sp_whip_season_to_date,float64,90,14,76,0.8444444444444444,0.0,0.2222222222222222,1.06875,4.500000000000001
home_sp_fip_last_3_starts,float64,90,14,76,0.8444444444444444,0.0,0.1,2.9125,7.836842105263159
home_sp_fip_last_5_starts,float64,90,14,76,0.8444444444444444,0.0,0.1,2.9125,7.836842105263159
home_sp_fip_season_to_date,float64,90,14,76,0.8444444444444444,0.0,0.1,2.9125,7.836842105263159
home_sp_ip_avg_last_3_starts,float64,90,14,76,0.8444444444444444,0.0,3.0,5.333333333333333,7.0
home_sp_kbb_rate_season_to_date,float64,90,14,76,0.8444444444444444,0.022222222222222223,0.0,0.1633333333333333,0.4285714285714285
home_sp_pitch_count_last_start,float64,90,14,76,0.8444444444444444,0.0,72.0,89.5,105.0
home_sp_rest_days,float64,90,14,76,0.8444444444444444,0.0,3.0,5.0,6.0
home_sp_whip_season_to_date,float64,90,14,76,0.8444444444444444,0.0,0.3333333333333333,0.9687500000000001,2.454545454545455
home_lineup_vs_lhp_woba,float64,90,43,47,0.5222222222222223,0.0,0.1864285714285714,0.3110952380952381,0.553
away_lineup_vs_lhp_woba,float64,90,50,40,0.4444444444444444,0.0,0.0934374999999999,0.30506249999999996,0.4737083333333333
away_lineup_vs_rhp_woba,float64,90,70,20,0.2222222222222222,0.0,0.0492857142857142,0.2804642857142857,0.4833053613053613
lineup_statcast_xwoba_diff,float64,90,70,20,0.2222222222222222,0.0,-0.2608733538826642,0.01951061115742065,0.1774236278551492
away_lineup_avg_exit_velocity,float64,90,72,18,0.2,0.0,75.25018911099795,81.91131019393248,87.8288392857143
away_lineup_barrel_rate,float64,90,72,18,0.2,0.07777777777777778,0.0,0.034983812365525904,0.1138392857142857
away_lineup_hard_hit_rate,float64,90,72,18,0.2,0.0,0.0952380952380952,0.23351853521433655,0.3925595238095238
away_lineup_statcast_woba,float64,90,72,18,0.2,0.0,0.0499999999999999,0.30226239106753805,0.4752083333333333
away_lineup_statcast_xwoba,float64,90,72,18,0.2,0.0,0.1429260238095238,0.31239363040970847,0.502215108644569
home_lineup_avg_exit_velocity,float64,90,73,17,0.18888888888888888,0.0,77.73042053184909,82.52099404923159,90.36194444444445
home_lineup_barrel_rate,float64,90,73,17,0.18888888888888888,0.05555555555555555,0.0,0.0419683257918552,0.2023809523809523
home_lineup_hard_hit_rate,float64,90,73,17,0.18888888888888888,0.0,0.134375,0.2472218814324077,0.5777777777777777
home_lineup_statcast_woba,float64,90,73,17,0.18888888888888888,0.0,0.1765625,0.3217129629629629,0.4932539682539682
home_lineup_statcast_xwoba,float64,90,73,17,0.18888888888888888,0.0,0.1860766809523809,0.3325171983120063,0.4808168244176981
home_lineup_vs_rhp_woba,float64,90,73,17,0.18888888888888888,0.0,0.145625,0.29875,0.48
home_bullpen_fip_season_to_date,float64,90,74,16,0.17777777777777778,0.0,1.6,4.327272727272728,15.100000000000003
home_bullpen_whip_season_to_date,float64,90,74,16,0.17777777777777778,0.0,0.4285714285714286,1.343137254901961,3.818181818181819
away_bullpen_fip_season_to_date,float64,90,75,15,0.16666666666666666,0.0,0.0999999999999996,4.023076923076923,14.35
away_bullpen_whip_season_to_date,float64,90,75,15,0.16666666666666666,0.0,0.3333333333333333,1.21875,2.2500000000000004
away_lineup_3to5_woba,float64,90,75,15,0.16666666666666666,0.022222222222222223,0.0,0.3208333333333333,0.498
away_lineup_avg_ops,float64,90,75,15,0.16666666666666666,0.0,0.0714285714285714,0.6396103896103896,1.0142857142857142
away_lineup_avg_woba,float64,90,75,15,0.16666666666666666,0.0,0.0492857142857142,0.2893576388888889,0.4737083333333333
away_lineup_bottom4_ops,float64,90,75,15,0.16666666666666666,0.022222222222222223,0.0,0.5654761904761905,1.477777777777778
away_lineup_top3_woba,float64,90,75,15,0.16666666666666666,0.0,0.0741666666666666,0.3072156862745097,0.6233333333333334
away_lineup_weighted_woba_by_order,float64,90,75,15,0.16666666666666666,0.0,0.0552,0.2945556127450981,0.4618644688644689
away_team_ops_last_14d,float64,90,75,15,0.16666666666666666,0.0,0.0689655172413793,0.6654135338345865,1.103158077390248
away_team_ops_last_30d,float64,90,75,15,0.16666666666666666,0.0,0.0689655172413793,0.6654135338345865,1.103158077390248
away_team_ops_season_to_date,float64,90,75,15,0.16666666666666666,0.0,0.0689655172413793,0.6654135338345865,1.103158077390248
