column,dtype,rows,non_null,nulls,null_rate,zero_rate,min,median,max
humidity,float64,807,0,807,1.0,0.0,,,
market_away_moneyline_movement,float64,807,0,807,1.0,0.0,,,
market_away_sp_changed,float64,807,0,807,1.0,0.0,,,
market_closing_total_line,float64,807,0,807,1.0,0.0,,,
market_current_away_moneyline,float64,807,0,807,1.0,0.0,,,
market_current_home_moneyline,float64,807,0,807,1.0,0.0,,,
market_current_total_line,float64,807,0,807,1.0,0.0,,,
market_home_moneyline_movement,float64,807,0,807,1.0,0.0,,,
market_home_sp_changed,float64,807,0,807,1.0,0.0,,,
market_opening_away_moneyline,float64,807,0,807,1.0,0.0,,,
market_opening_home_moneyline,float64,807,0,807,1.0,0.0,,,
market_opening_total_line,float64,807,0,807,1.0,0.0,,,
market_ou_vig,float64,807,0,807,1.0,0.0,,,
market_over_implied_prob,float64,807,0,807,1.0,0.0,,,
market_over_odds,float64,807,0,807,1.0,0.0,,,
market_starter_change_count,float64,807,0,807,1.0,0.0,,,
market_total_line,float64,807,0,807,1.0,0.0,,,
market_total_line_movement,float64,807,0,807,1.0,0.0,,,
market_under_implied_prob,float64,807,0,807,1.0,0.0,,,
market_under_odds,float64,807,0,807,1.0,0.0,,,
source_file,object,807,0,807,1.0,,,,
sp_fastball_velocity_diff,float64,807,625,182,0.2255266418835192,0.0,-10.351469979296084,-0.04223942300440342,8.671799440504245
sp_statcast_xwoba_allowed_diff,float64,807,625,182,0.2255266418835192,0.0,-0.27435657416267956,0.002962457156308884,0.3021614162679427
sp_whiff_rate_diff,float64,807,625,182,0.2255266418835192,0.0,-0.1440329218106996,0.0008236310946158898,0.22508591065292094
sp_fip_diff,float64,807,626,181,0.22428748451053285,0.0,-13.28846153846154,-0.05272108843537415,11.333333333333329
wind_direction,str,807,647,160,0.1982651796778191,,,,
away_sp_avg_exit_velocity_allowed_to_date,float64,807,675,132,0.16356877323420074,0.0,61.96666666666666,82.49955555555556,99.84000000000002
away_sp_avg_fastball_velocity_to_date,float64,807,675,132,0.16356877323420074,0.0,87.10000000000001,93.63558951965065,99.64841897233201
away_sp_avg_spin_rate_to_date,float64,807,675,132,0.16356877323420074,0.0,1451.8382352941176,2257.901639344262,2849.7922077922076
away_sp_barrel_rate_allowed_to_date,float64,807,675,132,0.16356877323420074,0.061957868649318466,0.0,0.04504504504504504,0.2
away_sp_breaking_ball_usage_to_date,float64,807,675,132,0.16356877323420074,0.10161090458488228,0.0,0.18677685950413223,0.6052631578947368
away_sp_fastball_usage_to_date,float64,807,675,132,0.16356877323420074,0.0,0.2710843373493976,0.5442764578833693,1.0
away_sp_hard_hit_rate_allowed_to_date,float64,807,675,132,0.16356877323420074,0.004956629491945477,0.0,0.24719101123595505,0.8
away_sp_offspeed_usage_to_date,float64,807,675,132,0.16356877323420074,0.06071871127633209,0.0,0.14359637774902975,0.4765625
away_sp_statcast_woba_allowed_to_date,float64,807,675,132,0.16356877323420074,0.0024783147459727386,0.0,0.30833333333333335,0.7499999999999999
away_sp_statcast_xwoba_allowed_to_date,float64,807,675,132,0.16356877323420074,0.0,0.11107580952380952,0.3207221818181818,0.5595083636363637
away_sp_whiff_rate_to_date,float64,807,675,132,0.16356877323420074,0.0024783147459727386,0.0,0.11559139784946236,0.26666666666666666
away_sp_fip_last_3_starts,float64,807,677,130,0.161090458488228,0.0,-0.2749999999999999,4.0,22.159523809523808
away_sp_fip_last_5_starts,float64,807,677,130,0.161090458488228,0.0,-0.2749999999999999,4.081666666666667,16.51544117647059
away_sp_fip_season_to_date,float64,807,677,130,0.161090458488228,0.0,-0.2749999999999999,3.9000000000000004,15.100000000000003
away_sp_ip_avg_last_3_starts,float64,807,677,130,0.161090458488228,0.0,0.6666666666666666,5.333333333333333,8.111111111111112
away_sp_kbb_rate_season_to_date,float64,807,677,130,0.161090458488228,0.01982651796778191,-0.4,0.13432835820895522,0.47058823529411764
away_sp_pitch_count_last_start,float64,807,677,130,0.161090458488228,0.0012391573729863693,0.0,89.0,114.0
away_sp_rest_days,float64,807,677,130,0.161090458488228,0.0,4.0,5.0,41.0
away_sp_whip_season_to_date,float64,807,677,130,0.161090458488228,0.0037174721189591076,0.0,1.2328767123287672,8.999999999999996
home_sp_avg_exit_velocity_allowed_to_date,float64,807,681,126,0.15613382899628253,0.0,67.13913043478261,82.49451219512196,90.35000000000002
home_sp_avg_fastball_velocity_to_date,float64,807,681,126,0.15613382899628253,0.0,87.95079365079364,93.63529411764705,99.66897810218978
home_sp_avg_spin_rate_to_date,float64,807,681,126,0.15613382899628253,0.0,1560.3866666666668,2249.0697167755993,2638.8314606741574
home_sp_barrel_rate_allowed_to_date,float64,807,681,126,0.15613382899628253,0.0644361833952912,0.0,0.0446927374301676,0.2
home_sp_breaking_ball_usage_to_date,float64,807,681,126,0.15613382899628253,0.09417596034696406,0.0,0.19142857142857142,0.5662650602409639
home_sp_fastball_usage_to_date,float64,807,681,126,0.15613382899628253,0.0,0.26506024096385544,0.5359116022099447,0.9056603773584906
home_sp_fip_last_3_starts,float64,807,681,126,0.15613382899628253,0.0,-0.8999999999999999,4.015406162464987,18.1
home_sp_fip_last_5_starts,float64,807,681,126,0.15613382899628253,0.0,-0.8999999999999999,4.064901960784313,18.1
home_sp_fip_season_to_date,float64,807,681,126,0.15613382899628253,0.0,-0.8999999999999999,3.85,18.099999999999998
home_sp_hard_hit_rate_allowed_to_date,float64,807,681,126,0.15613382899628253,0.004956629491945477,0.0,0.24691358024691357,0.47058823529411764
home_sp_ip_avg_last_3_starts,float64,807,681,126,0.15613382899628253,0.0,0.6666666666666666,5.333333333333333,8.0
