column,dtype,rows,non_null,nulls,null_rate,zero_rate,min,median,max
away_lineup_avg_exit_velocity,float64,4119,0,4119,1.0,0.0,,,
away_lineup_barrel_rate,float64,4119,0,4119,1.0,0.0,,,
away_lineup_hard_hit_rate,float64,4119,0,4119,1.0,0.0,,,
away_lineup_platoon_woba,float64,4119,0,4119,1.0,0.0,,,
away_lineup_statcast_woba,float64,4119,0,4119,1.0,0.0,,,
away_lineup_statcast_xwoba,float64,4119,0,4119,1.0,0.0,,,
away_lineup_vs_lhp_woba,float64,4119,0,4119,1.0,0.0,,,
away_lineup_vs_rhp_woba,float64,4119,0,4119,1.0,0.0,,,
away_sp_avg_exit_velocity_allowed_to_date,float64,4119,0,4119,1.0,0.0,,,
away_sp_avg_fastball_velocity_to_date,float64,4119,0,4119,1.0,0.0,,,
away_sp_avg_spin_rate_to_date,float64,4119,0,4119,1.0,0.0,,,
away_sp_barrel_rate_allowed_to_date,float64,4119,0,4119,1.0,0.0,,,
away_sp_breaking_ball_usage_to_date,float64,4119,0,4119,1.0,0.0,,,
away_sp_fastball_usage_to_date,float64,4119,0,4119,1.0,0.0,,,
away_sp_hard_hit_rate_allowed_to_date,float64,4119,0,4119,1.0,0.0,,,
away_sp_offspeed_usage_to_date,float64,4119,0,4119,1.0,0.0,,,
away_sp_statcast_woba_allowed_to_date,float64,4119,0,4119,1.0,0.0,,,
away_sp_statcast_xwoba_allowed_to_date,float64,4119,0,4119,1.0,0.0,,,
away_sp_whiff_rate_to_date,float64,4119,0,4119,1.0,0.0,,,
home_lineup_avg_exit_velocity,float64,4119,0,4119,1.0,0.0,,,
home_lineup_barrel_rate,float64,4119,0,4119,1.0,0.0,,,
home_lineup_hard_hit_rate,float64,4119,0,4119,1.0,0.0,,,
home_lineup_platoon_woba,float64,4119,0,4119,1.0,0.0,,,
home_lineup_statcast_woba,float64,4119,0,4119,1.0,0.0,,,
home_lineup_statcast_xwoba,float64,4119,0,4119,1.0,0.0,,,
home_lineup_vs_lhp_woba,float64,4119,0,4119,1.0,0.0,,,
home_lineup_vs_rhp_woba,float64,4119,0,4119,1.0,0.0,,,
home_sp_avg_exit_velocity_allowed_to_date,float64,4119,0,4119,1.0,0.0,,,
