column,dtype,rows,non_null,nulls,null_rate,zero_rate,min,median,max
market_away_moneyline_movement,float64,2429,0,2429,1.0,0.0,,,
market_away_sp_changed,float64,2429,0,2429,1.0,0.0,,,
market_closing_total_line,float64,2429,0,2429,1.0,0.0,,,
market_current_away_moneyline,float64,2429,0,2429,1.0,0.0,,,
market_current_home_moneyline,float64,2429,0,2429,1.0,0.0,,,
market_current_total_line,float64,2429,0,2429,1.0,0.0,,,
market_home_moneyline_movement,float64,2429,0,2429,1.0,0.0,,,
market_home_sp_changed,float64,2429,0,2429,1.0,0.0,,,
market_opening_away_moneyline,float64,2429,0,2429,1.0,0.0,,,
market_opening_home_moneyline,float64,2429,0,2429,1.0,0.0,,,
market_opening_total_line,float64,2429,0,2429,1.0,0.0,,,
market_ou_vig,float64,2429,0,2429,1.0,0.0,,,
market_over_implied_prob,float64,2429,0,2429,1.0,0.0,,,
market_over_odds,float64,2429,0,2429,1.0,0.0,,,
market_starter_change_count,float64,2429,0,2429,1.0,0.0,,,
market_total_line,float64,2429,0,2429,1.0,0.0,,,
market_total_line_movement,float64,2429,0,2429,1.0,0.0,,,
market_under_implied_prob,float64,2429,0,2429,1.0,0.0,,,
market_under_odds,float64,2429,0,2429,1.0,0.0,,,
sp_fastball_velocity_diff,float64,2429,1994,435,0.17908604363935776,0.0,-12.176512008047268,-0.0326793403670393,11.67815978430538
sp_statcast_xwoba_allowed_diff,float64,2429,1994,435,0.17908604363935776,0.0,-0.4153616862010542,-0.001059123871488,0.3174190302917259
sp_whiff_rate_diff,float64,2429,1994,435,0.17908604363935776,0.0,-0.1589020122484689,0.0004437410814872,0.1553156146179402
wind_direction,str,2429,2001,428,0.1762041992589543,,,,
sp_bb_rate_public_diff,float64,2429,2134,295,0.1214491560312886,0.002881844380403458,-0.4285714285714285,-0.0014443593950511499,0.4230769230769231
sp_command_proxy_diff,float64,2429,2134,295,0.1214491560312886,0.0008233841086867024,-0.5714285714285714,-0.00125099621902835,0.6346153846153846
sp_era_diff,float64,2429,2134,295,0.1214491560312886,0.8785508439687114,0.0,0.0,0.0
sp_fip_diff,float64,2429,2134,295,0.1214491560312886,0.0004116920543433512,-29.000000000000007,-0.03642896748906715,7.970149253731343
sp_k_rate_public_diff,float64,2429,2134,295,0.1214491560312886,0.0008233841086867024,-0.4285714285714286,0.0011986914855125,0.4887005649717514
sp_run_prevention_proxy_diff,float64,2429,2134,295,0.1214491560312886,0.0004116920543433512,-29.000000000000007,-0.03642896748906715,7.970149253731343
sp_whiff_proxy_diff,float64,2429,2134,295,0.1214491560312886,0.0008233841086867024,-0.4285714285714286,0.0011986914855125,0.4887005649717514
home_sp_avg_spin_rate_to_date,float64,2429,2167,262,0.10786331823795801,0.0,1412.6220400728598,2227.747252747253,2821.5786106032906
away_sp_avg_spin_rate_to_date,float64,2429,2168,261,0.10745162618361466,0.0,1406.2267303102626,2225.0834059022736,2828.0958605664487
home_sp_avg_exit_velocity_allowed_to_date,float64,2429,2168,261,0.10745162618361466,0.0,72.60909090909091,82.40508250030109,93.91304347826087
home_sp_avg_fastball_velocity_to_date,float64,2429,2168,261,0.10745162618361466,0.0,86.3389534883721,93.17080575036596,99.66216216216216
home_sp_barrel_rate_allowed_to_date,float64,2429,2168,261,0.10745162618361466,0.03293536434746809,0.0,0.04180333157685315,0.2272727272727272
home_sp_breaking_ball_usage_to_date,float64,2429,2168,261,0.10745162618361466,0.10168793742280774,0.0,0.1893827993254637,0.6666666666666666
home_sp_fastball_usage_to_date,float64,2429,2168,261,0.10745162618361466,0.0,0.2113207547169811,0.5488502362941825,1.0
home_sp_hard_hit_rate_allowed_to_date,float64,2429,2168,261,0.10745162618361466,0.0012350761630300535,0.0,0.2404036683263896,0.6666666666666666
home_sp_offspeed_usage_to_date,float64,2429,2168,261,0.10745162618361466,0.03828736105393166,0.0,0.14169693072313572,0.625
home_sp_statcast_woba_allowed_to_date,float64,2429,2168,261,0.10745162618361466,0.0008233841086867024,0.0,0.31347135737177534,0.9392857142857144
home_sp_statcast_xwoba_allowed_to_date,float64,2429,2168,261,0.10745162618361466,0.0,0.0408333333333333,0.3176574487843245,0.7160423383749672
home_sp_whiff_rate_to_date,float64,2429,2168,261,0.10745162618361466,0.0,0.0185185185185185,0.11573397206582259,0.2619047619047619
away_sp_avg_exit_velocity_allowed_to_date,float64,2429,2169,260,0.1070399341292713,0.0,67.8,82.41542776998597,93.85
away_sp_avg_fastball_velocity_to_date,float64,2429,2169,260,0.1070399341292713,0.0,86.2359375,93.18696939782824,100.0939393939394
away_sp_barrel_rate_allowed_to_date,float64,2429,2169,260,0.1070399341292713,0.036228900782214905,0.0,0.0414593698175787,0.1794871794871795
away_sp_breaking_ball_usage_to_date,float64,2429,2169,260,0.1070399341292713,0.10745162618361466,0.0,0.1902439024390244,0.5966735966735967
away_sp_fastball_usage_to_date,float64,2429,2169,260,0.1070399341292713,0.0,0.2087912087912088,0.5518962075848304,0.961038961038961
away_sp_hard_hit_rate_allowed_to_date,float64,2429,2169,260,0.1070399341292713,0.0016467682173734047,0.0,0.2393887945670628,0.5
away_sp_offspeed_usage_to_date,float64,2429,2169,260,0.1070399341292713,0.033347056401811445,0.0,0.1385498923187365,0.5
away_sp_statcast_woba_allowed_to_date,float64,2429,2169,260,0.1070399341292713,0.0008233841086867024,0.0,0.3128019323671497,0.6892857142857143
away_sp_statcast_xwoba_allowed_to_date,float64,2429,2169,260,0.1070399341292713,0.0,0.1379363882820258,0.3161685501935358,0.5557100040059032
away_sp_whiff_rate_to_date,float64,2429,2169,260,0.1070399341292713,0.0004116920543433512,0.0,0.1152108433734939,0.2962962962962963
home_sp_bb_per_9_season_to_date,float64,2429,2242,187,0.07698641416220667,0.015644298065047343,0.0,2.7879145842798727,40.49999999999998
home_sp_bb_rate_season_to_date,float64,2429,2242,187,0.07698641416220667,0.015644298065047343,0.0,0.07399340153016234,0.4285714285714285
home_sp_command_proxy,float64,2429,2242,187,0.07698641416220667,0.011939069575957185,-0.3571428571428571,0.1428571428571428,0.6666666666666666
